propid,dbaname,situsconcatshort,situscity,situszip,ownername,imprvunits,imprvyearbuilt,propusecode
2143049,CORTLAND NORTH PLANO APARTMENTS,9601 CUSTER RD,PLANO,75025,CUSTER TX PARTNERS LLC,548,1998,MFU
2652395,ESTANCIA AT RIDGEVIEW RANCH APARTMENTS,10200 INDEPENDENCE PKWY,PLANO,75025,ESTANCIA APARTMENT PARTNERS,500,2006,MFU
2111968,MAA LOS RIOS,4701 14TH ST,PLANO,75074,MID-AMERICA APARTMENTS LP,498,1999,MFU
1503260,CREEKSIDE VILLAGE APTS,3400 PARK BLVD,PLANO,75075,NSCC CREEKSIDE 12B LLC,480,1983,MFU
2095999,23HUNDRED @ RIDGEVIEW,2300 KATHRYN LN,PLANO,75025,CH REALTY X MF PLANO 23 HUNDRED LP,480,1998,MFU
2557400,WINDHAVEN PARK  APARTMENTS,6201 WINDHAVEN PKWY,PLANO,75093,AG-HILLTOP WINDHAVEN PROPERTY OWNER LP,474,1990,MFU
2544628,SAXONY AT CHASE OAKS APARTMENTS,300 LEGACY DR,PLANO,75023,SAXONY AT CHASE OAKS PARTNERSHIP,470,1994,MFU
1988024,EVOKE,1025 PRESTON RD,PLANO,75093,BEAUMEADE EVOKE LLC &,459,2016,MFU
2571959,MAA MARKET CENTER I,3825 MAPLESHADE LN,PLANO,75075,MAALP MARKET CENTER LLC,454,2012,MFU
2107994,MISSION GATE APARTMENTS,8025 OHIO DR,PLANO,75024,WRPV XIV MG PLANO LP &,434,1998,MFU
1708003,WESTSIDE APARTMENTS,1515 RIO GRANDE DR,PLANO,75075,RRE BRENTDALE HOLDINGS LLC,412,1984,MFU
2646098,RIACHI AT ONE 21 APARTMENTS,9600 COIT RD,PLANO,75025,MFREVF V - PLANO LP,402,2007,MFU
2785825,WINDSOR METRO WEST APARTMENTS,8055 WINDROSE AVE,PLANO,75024,IMP METRO WEST LLC,401,2017,MFU
2614633,DORIAN,8401 MEMORIAL LN,PLANO,75024,KV TRIBECA APARTMENTS LLC,398,2007,MFU
2047952,THE GIO APARTMENTS,5000 K AVE,PLANO,75074,SREIT GIO APARTMENTS LLC,390,1997,MFU
2739046,CENTRIC ONE90,680 EXECUTIVE DR,PLANO,75074,TRG BUSH TURNPIKE LP,386,2014,MFU
2058512,CREEKSIDE AT LEGACY APARTMENTS,6300 WINDCREST DR,PLANO,75024,KEY CREEKSIDE LLC,380,1996,MFU
2861988,FERRO,1005 11TH ST,PLANO,75074,TB PLANO 1 LLC,379,2021,MFU
