area,name,city,address,units,stage,signal,why,permit_date,opening_date,sale_date,buyer,developer,office_phone,website,software,permit_link,news_link,website_link,agenda_link,map_link
az,Canyon Del Rio Village,Flagstaff,,170,permitted,Opens: not public yet,Permitted · opens: not public yet · 170 units · software not picked yet,2024-04-09,,,,,,,,,,,,
az,The Lofts at G Diamond Ranch,Casa Grande,,120,permitted,Opens: not public yet,Permitted · opens: not public yet · 120 units · software not picked yet,2024-05-10,,,,,,,,,,,,
az,San Cipriano Townhomes,Cottonwood,,52,permitted,Opens: not public yet,Permitted · opens: not public yet · 52 units · software not picked yet,2024-11-18,,,,,,,,,,,,
az,The Place at Rita Ranch,Tucson,,189,permitted,Opens: not public yet,Permitted · opens: not public yet · 189 units · software not picked yet,2025-03-14,,,,,,,,,,,,
az,Parkside Reserve,Tucson,,210,permitted,Opens: not public yet,Permitted · opens: not public yet · 210 units · software not picked yet,2025-09-09,,,,,,,,,,,,
az,Laveen Commons,Phoenix,,150,permitted,Opens: not public yet,Permitted · opens: not public yet · 150 units · software not picked yet,2025-12-16,,,,,,,,,,,,
az,San Cipriano Townhomes,Cottonwood,,52,permitted,Opens: not public yet,Permitted · opens: not public yet · 52 units · software not picked yet,2025-12-16,,,,,,,,,,,,
az,The Radley Scottsdale,Scottsdale,,23,permitted,Opens: not public yet,Permitted · opens: not public yet · 23 units · software not picked yet,2026-05-21,,,,,,,,,,,,
az,The Radley Glendale,Glendale,,37,permitted,Opens: not public yet,Permitted · opens: not public yet · 37 units · software not picked yet,2026-05-28,,,,,,,,,,,,
az,Bella Victoria,Mesa,,236,sold,Sold,Sold · 236 units · new owner may re-pick software,2026-04-29,,,,,,,,,,,,
az,The M at Shadow Mountain,Phoenix,,404,sold,Sold,Sold · 404 units · new owner may re-pick software,2026-04-01,,,,,,,,,,,,
az,Portola Biltmore,Phoenix,,114,sold,Sold,Sold · 114 units · new owner may re-pick software,2026-02-23,,,,,,,,,,,,
az,Elevate on Vineyard,Phoenix,,54,sold,Sold,Sold · 54 units · new owner may re-pick software,2026-02-06,,,,,,,,,,,,
az,Kivel Manor,Phoenix,,255,sold,Sold,Sold · 255 units · new owner may re-pick software,2025-09-10,,,,,,,,,,,,
az,Council House Apartments,Tucson,,149,sold,Sold,Sold · 149 units · new owner may re-pick software,2025-08-20,,,,,,,,,,,,
az,The Reserve at Thunderbird II,Phoenix,,134,sold,Sold,Sold · 134 units · new owner may re-pick software,2025-04-18,,,,,,,,,,,,
az,The Reserve at Thunderbird I,Phoenix,,108,sold,Sold,Sold · 108 units · new owner may re-pick software,2025-04-15,,,,,,,,,,,,
az,Marquee on 5th,Tucson,,96,sold,Sold,Sold · 96 units · new owner may re-pick software,2024-11-05,,,,,,,,,,,,
az,Escarlata 31,Phoenix,,87,sold,Sold,Sold · 87 units · new owner may re-pick software,2024-03-15,,,,,,,,,,,,
