area,name,city,address,units,stage,signal,why,permit_date,opening_date,sale_date,buyer,developer,office_phone,website,software,permit_link,news_link,website_link,agenda_link,map_link
az,La Victoria Commons On Apache,Tempe,2320 E APACHE BLVD,104,leasing,Opens: not public yet,Leasing · opens: not public yet · 104 units · software not picked yet,2024-09-27,,,,TEMPE CITY OF,,,,https://services.arcgis.com/lQySeXwbBg53XWDi/arcgis/rest/services/building_permits/FeatureServer/0/query?where=HousingUnits%3E%3D20&outFields=%2A&f=json&resultRecordCount=500&orderByFields=IssuedDate+DESC,,,,
az,1020 Apache,Tempe,1020 E APACHE BLVD,289,leasing,Opens: not public yet,Leasing · opens: not public yet · 289 units · software not picked yet,2024-09-30,,,,APACHE 1020 PROPERTIES KP6 LLC,,,,https://services.arcgis.com/lQySeXwbBg53XWDi/arcgis/rest/services/building_permits/FeatureServer/0/query?where=HousingUnits%3E%3D20&outFields=%2A&f=json&resultRecordCount=500&orderByFields=IssuedDate+DESC,,,,
az,Greenprint On 3Rd Apartments,Phoenix,629 N 3RD AVE,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2024-10-01,,,,OZ15 OPPORTUNITY FUND LLC,,,,https://maps.phoenix.gov/pub/rest/services/Public/Planning_Permit/MapServer/1/query?where=SCOPE_DESC%3D%27COMMERCIAL+NEW%27+AND+%28PERMIT_NAME+LIKE+%27%25APART%25%27+OR+PERMIT_NAME+LIKE+%27%25APT%25%27+OR+PERMIT_NAME+LIKE+%27%25MULTI%25%27+OR+PERMIT_NAME+LIKE+%27%25MF%25%27%29&outFields=%2A&f=json&resultRecordCount=500&orderByFields=PER_ISSUE_DATE+DESC,,,,
az,South Pier Lot 6,Tempe,1314 E VISTA DEL LAGO DR,232,permitted,Opens: not public yet,Permitted · opens: not public yet · 232 units · software not picked yet,2024-10-09,,,,CITY OF TEMPE,,,,https://services.arcgis.com/lQySeXwbBg53XWDi/arcgis/rest/services/building_permits/FeatureServer/0/query?where=HousingUnits%3E%3D20&outFields=%2A&f=json&resultRecordCount=500&orderByFields=IssuedDate+DESC,,,,
az,Multifamily,Phoenix,13000 N TATUM BLVD,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2024-10-25,,,,TDC GRIFFIN PV APT OWNER L L C,,,,https://maps.phoenix.gov/pub/rest/services/Public/Planning_Permit/MapServer/1/query?where=SCOPE_DESC%3D%27COMMERCIAL+NEW%27+AND+%28PERMIT_NAME+LIKE+%27%25APART%25%27+OR+PERMIT_NAME+LIKE+%27%25APT%25%27+OR+PERMIT_NAME+LIKE+%27%25MULTI%25%27+OR+PERMIT_NAME+LIKE+%27%25MF%25%27%29&outFields=%2A&f=json&resultRecordCount=500&orderByFields=PER_ISSUE_DATE+DESC,,,,
az,Commercial Multi-Family,Gilbert,1225 N ARIZONA AVE,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2024-11-06,,,,ALDI ARIZONA LLC,,,,https://maps.gilbertaz.gov/arcgis/rest/services/OD/Growth_Development_Tables_1/MapServer/3/query?where=PermitType%3D%27Commercial+Multi-Family%27+AND+WorkClass%3D%27New%27&outFields=%2A&f=json&resultRecordCount=500&orderByFields=IssuedDate+DESC,,,,
az,8336 E Quality Ave,Mesa,8336 E QUALITY AVE,236,permitted,Opens: not public yet,Permitted · opens: not public yet · 236 units · software not picked yet,2024-11-12,,,,HAWES CROSSING APARTMENTS LLC,,,,https://data.mesaaz.gov/resource/dzpk-hxfb.json?type_of_work=Multi-Family+Residential&%24order=issued_date+DESC&%24limit=500,,,,
az,7961 E Elliot Rd,Mesa,7961 E ELLIOT RD,419,permitted,Opens: not public yet,Permitted · opens: not public yet · 419 units · software not picked yet,2024-11-14,,,,,,,,https://data.mesaaz.gov/resource/dzpk-hxfb.json?type_of_work=Multi-Family+Residential&%24order=issued_date+DESC&%24limit=500,,,,
az,3380 N Scottsdale Rd,Scottsdale,3380 N SCOTTSDALE RD,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2024-11-22,,,,Empire Group,,,,https://maps.scottsdaleaz.gov/arcgis/rest/services/OpenData_Tabular/MapServer/12/query?where=PermitType+IN+%28%27APARTMENTS%27%2C%27MULTI-FAMILY+DWELLING%27%29&outFields=%2A&f=json&resultRecordCount=500&orderByFields=IssueDate+DESC,,,,
az,Commercial Multi-Family,Gilbert,3340 E WARNER RD,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2024-11-25,,,,LG MORRISON RANCH LLC,,,,https://maps.gilbertaz.gov/arcgis/rest/services/OD/Growth_Development_Tables_1/MapServer/3/query?where=PermitType%3D%27Commercial+Multi-Family%27+AND+WorkClass%3D%27New%27&outFields=%2A&f=json&resultRecordCount=500&orderByFields=IssuedDate+DESC,,,,
