apt_id,owner,website_confidence,unknown_reason,sale_date,sale_new_owner,sale_previous_owner,lead_rank,lead_total_leads,lead_why
2615335,5765 BOZEMAN (TX) OWNER LP,none,no-portal-link,,,,,,
2096027,TX APT 8205 TOWNE MAIN DRIVE LP,high,in-house-portal,,,,,,
2047952,SREIT GIO APARTMENTS LLC,none,no-website,,,,,,
2544026,UDR LEGACY VILLAGE LLC,high,,,,,,,
2750390,LW OWNER 1 LLC,high,,2025-04-28,LW OWNER 1 LLC,unknown (same owner name in 2025 roll),22,65,Sold Apr 2025 to LW OWNER 1 LLC · 621 units · on Yardi → new owner may re-pick software.
2143049,CUSTER TX PARTNERS LLC,high,in-house-portal,,,,,,
2929400,BEACON SQUARE ASSOCIATION INC &,low,no-website,,,,,,
2652395,ESTANCIA APARTMENT PARTNERS,high,,,,,,,
2111968,MID-AMERICA APARTMENTS LP,high,,,,,,,
1503260,NSCC CREEKSIDE 12B LLC,high,,,,,,,
2095999,CH REALTY X MF PLANO 23 HUNDRED LP,high,no-portal-link,2025-06-26,CH REALTY X MF PLANO 23 HUNDRED LP,23HUNDRED AT RIDGEVIEW LP,11,75,Sold Jun 2025 · 480 units · software not yet identified → new owner may re-pick software.
357054,PLANO PUBLIC FACILITY CORPORATION,high,,,,,,,
2557400,AG-HILLTOP WINDHAVEN PROPERTY OWNER LP,high,,,,,,,
2544628,SAXONY AT CHASE OAKS PARTNERSHIP,high,,,,,,,
1986344,WESTDALE LA COSTA TX LP,none,no-website,,,,,,
1988024,BEAUMEADE EVOKE LLC &,high,,,,,,,
2571959,MAALP MARKET CENTER LLC,high,,,,,,,
2107994,WRPV XIV MG PLANO LP &,high,,,,,,,
1708003,RRE BRENTDALE HOLDINGS LLC,high,,,,,,,
2006652,FRANKEL FAMILY TRUST THE,high,,,,,,,
2646098,MFREVF V - PLANO LP,low,no-website,,MFREVF V - PLANO LP,RIACHI RIDGEVIEW APARTMENTS LLC,16,70,Owner changed to MFREVF V - PLANO LP · 402 units · software not yet identified → new owner may re-pick software.
2785825,IMP METRO WEST LLC,high,,,,,,,
2614633,KV TRIBECA APARTMENTS LLC,high,,,,,,,
2581386,CREEKWOOD SPRINGCREEK DEVELOPMENT LP,high,,,,,,,
1627494,PECOS HOUSING FINANCE CORPORATION,high,,2025-04-01,PECOS HOUSING FINANCE CORPORATION,unknown (same owner name in 2025 roll),24,64,Sold Apr 2025 to PECOS HOUSING FINANCE CORPORATION · 389 units · on ResMan → new owner may re-pick software.
2739046,TRG BUSH TURNPIKE LP,high,,,,,,,
2763841,PLANO PUBLIC FACILITY CORPORATION,none,no-website,,,,,,
2058512,KEY CREEKSIDE LLC,high,,2024-09-26,KEY CREEKSIDE LLC,unknown (same owner name in 2025 roll),26,63,Sold Sep 2024 to KEY CREEKSIDE LLC · 380 units · on RealPage → new owner may re-pick software.
2861988,TB PLANO 1 LLC,high,,,,,,,
2023604,PLANO PUBLIC FACILITY CORPORATION,high,,,,,,,
1771372,PLANO PUBLIC FACILITY CORPORATION,high,,,,,,,
2028165,DALLAS BENTLEY I LP &,high,,,,,,,
2058800,1201 PARK PLANO ASSOCIATES LLC,high,,,,,,,
2039201,TREA CARRINGTON PARK LLC,high,,,,,,,
2895746,COLUMBIA LEGACY SQUARE LP,high,,,,,,,
1708628,H20 WATERFORD 12C LLC,high,,,,,,,
2924684,PLANO HOUSING AUTHORITY,high,,,,,,,
2058069,701 LEGACY DRIVE SPE LLC &,high,,2025-09-29,701 LEGACY DRIVE SPE LLC,unknown (same owner name in 2025 roll),19,67,Sold Sep 2025 to 701 LEGACY DRIVE SPE LLC · 346 units · on Yardi → new owner may re-pick software.
2053077,JANRIC ENTERPRISES LTD,high,,,,,,,
2006888,1100 MEREDITH LANE INC,high,,,,,,,
2929495,HERITAGE CREEKSIDE BLOCK A1 OWNER LLC,high,,,,,,,
2097508,JLLX VILLAS AT LEGACY DST,high,,,,,,,
2805254,NE WEST LEGACY LP,high,,,,,,,
2002288,PLANO PUBLIC FACILITY CORPORATION,high,,,,,,,
2779499,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,high,,,,,,,
2908642,HERITAGE CREEKSIDE BLOCK B OWNER LLC,high,,,HERITAGE CREEKSIDE BLOCK B OWNER LLC,RPC WALNUT LLC,31,53,Owner changed to HERITAGE CREEKSIDE BLOCK B OWNER LLC · 326 units · on RealPage → new owner may re-pick software.
356947,TRG NORTHLINE LP,high,,,,,,,
2069317,LA VENTURA PLANO LLC,high,no-portal-link,,,,,,
2504520,HEITMAN CREDIT ACQUISITION XL LP,high,,,HEITMAN CREDIT ACQUISITION XL LP,SRGMF IV INDEPENDENCE PLANO LLC,32,52,Owner changed to HEITMAN CREDIT ACQUISITION XL LP · 324 units · on Yardi → new owner may re-pick software.
2543479,COTTONWOOD COURTNEY MANOR H LLC &,high,,,,,,,
2672947,BELL VALUE-ADD FUND VIII GATEWAY LP,high,,,,,,,
2628294,FAIRFIELD HUNTINGTON LP,none,no-website,,,,,,
2571968,MID-AMERICA APARTMENTS LP,none,no-website,,,,,,
2945424,PARK RESIDENCES PLANO WEST LLC,high,,2026-03-12,PARK RESIDENCES PLANO WEST LLC,BSPV-PLANO LLC,23,64,Sold Mar 2026 to PARK RESIDENCES PLANO WEST LLC · 318 units · on Yardi → new owner may re-pick software.
1963481,PLANO PUBLIC FACILITY CORPORATION,high,no-portal-link,,,,,,
2666205,5765 BOZEMAN (TX) OWNER LP,high,no-portal-link,,,,,,
2763842,PLANO PUBLIC FACILITY CORPORATION,none,no-website,,,,,,
2787666,PLANO PUBLIC FACILITY CORPORATION,high,,,,,,,
1976049,SIMFA LAKESHORE FEE SIMPLE LLC,high,,2024-09-26,SIMFA LAKESHORE FEE SIMPLE LLC,unknown (same owner name in 2025 roll),30,55,Sold Sep 2024 to SIMFA LAKESHORE FEE SIMPLE LLC · 302 units · on Yardi → new owner may re-pick software.
