run_id,started,skill,area,status,counts,errors,duration_sec
20260913T213834-client-map,,client-map,,,,0,
20260913T145249-scout-areas,2026-09-13T14:52:49,scout-areas,tucson-az,ok,"metros=1, unfinished=0",0,0.6
20260913T144648-build-reach,2026-09-13T14:46:48,build-reach,us,ok,"queries_cached=68, web_dots=17, kept_dots=2",0,0.0
20260913T144625-build-reach,2026-09-13T14:46:25,build-reach,us,ok,"queries_cached=68, web_dots=17, kept_dots=2",0,7.9
20260913T144621-build-reach,2026-09-13T14:46:21,build-reach,us,error,,1,0.0
20260913T144405-build-reach,2026-09-13T14:44:05,build-reach,us,ok,"queries_cached=64, web_dots=25, kept_dots=2",0,105.3
20260910T222750-score-leads,2026-09-10T22:27:50,score-leads,plano-richardson,ok,"sold_leads=35, upcoming_leads=14, total_leads=49",0,0.0
20260910T222750-build-table,2026-09-10T22:27:50,build-table,plano-richardson,ok,"in_area=256, website_found=227, checked=227, identified=177, unknown=79",0,0.0
20260910T222741-score-leads,2026-09-10T22:27:41,score-leads,plano-richardson,ok,"sold_leads=35, upcoming_leads=14, total_leads=49",0,0.0
20260910T222741-build-table,2026-09-10T22:27:41,build-table,plano-richardson,ok,"in_area=52, website_found=227, checked=227, identified=177, unknown=79",0,0.0
20260910T222355-contact-scrape,2026-09-10T22:23:55,contact-scrape,plano-richardson,ok,"total=52, phone=35, email=8",0,8.7
20260910T222059-detect-software,2026-09-10T22:20:59,detect-software,plano-richardson,ok,"total=52, identified=26, unknown=26",0,83.7
20260910T221957-find-website,2026-09-10T22:19:57,find-website,plano-richardson,ok,"total=52, high=38, medium=8, low=5, none=1",0,60.2
20260910T153225-contact-scrape,2026-09-10T15:32:25,contact-scrape,plano-richardson,ok,"total=204, phone=164, email=40",0,33.8
20260910T133132-score-leads,2026-09-10T13:31:32,score-leads,plano-richardson,ok,"sold_leads=28, upcoming_leads=14, total_leads=42",0,0.0
20260910T133113-find-sales,2026-09-10T13:31:13,find-sales,plano-richardson,ok,"communities_checked=204, parcels_checked=232, sold=28, sold_by_deed=23, owner_changed_without_deed=5",0,12.6
20260910T133111-build-table,2026-09-10T13:31:11,build-table,plano-richardson,ok,"in_area=204, website_found=183, checked=183, identified=152, unknown=52",0,0.0
20260910T132958-detect-software,2026-09-10T13:29:58,detect-software,plano-richardson,ok,"total=204, identified=152, unknown=52",0,69.9
