apt_id,community,city,units,reason,website
2047952,The Gio Apartments,Plano,730,no-website,
2929400,The Beacon,Plano,539,no-website,https://interchange.puc.texas.gov/Documents/56021_24_1358750.PDF
1986344,La Costa Apartments,Plano,462,no-website,
2117157,Clearwater Creek Apartments,Richardson,442,no-website,
2646098,Riachi At One 21 Apartments,Plano,402,no-website,https://www.sunny.com/tx/plano
2763841,Jada Legacy Central Tc,Plano,385,no-website,
2628294,Huntington Apartments,Plano,320,no-website,
2571968,Maa At Market Center Ii Apartments,Plano,318,no-website,
2763842,Opal Legacy Central Apartments,Plano,310,no-website,
1824574,Summers Crossing Apartments,Plano,294,no-website,
1503117,Bellevue At Spring Creek Apartments,Plano,278,no-website,https://rejournals.com/grea-brokers-sale-of-278-unit-apartment-community-in-plano-submarket/
2595347,Kia Ora Park Apartments,Plano,250,no-website,
1972919,Old Shepard Place Apartments,Plano,244,no-website,
1615274,Spring Pointe Apartments,Richardson,208,no-website,
2116750,Post Legacy Apartments,Plano,171,no-website,https://www.calameo.com/books/003186963fa0d71126181
1747612,Preserve At Preston,Plano,160,no-website,https://www.birchstonewestplano.com/
769,Villas Del Sol I & Ii Apartments,Plano,60,no-website,https://data.texas.gov/views/hkzz-rrn8/rows.rdf?accessType=DOWNLOAD
2856761,@ 15Th St Apartments,Plano,52,no-website,https://members.planochamber.org/members/member/junction-15-apartments-10856
1764969,Silverwood Village Townhomes,Plano,28,no-website,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/
163325,Belleview West Apartments,Plano,24,no-website,https://englewoodgov.civicweb.net/document/461819/City%20Council%20Study%20Session%20-%2023%20Mar%202026.pdf?handle=86B95EC9C1424617BA8642B6C0F95811
84143,Grindstone Ii Apartments,Plano,22,no-website,https://www.city-data.com/collin-county/L/L-Avenue-2.html
2615335,Northside At Legacy I Apartments,Plano,793,no-portal-link,
2096027,Cortland West Plano,Plano,769,in-house-portal,https://cortland.com/apartments/cortland-west-plano/
2143049,Cortland North Plano Apartments,Plano,548,in-house-portal,https://cortland.com/apartments/cortland-north-plano/
2095999,23Hundred @ Ridgeview,Plano,480,no-portal-link,https://www.2300ridgeview.com/
2039698,Cortland Prairie Creek Apartments,Richardson,464,in-house-portal,https://cortland.com/apartments/cortland-prairie-creek/
2069317,La Ventura Apartments,Plano,324,no-portal-link,http://www.laventuraapartments.com
1963481,Collin Creek Apartments,Plano,314,no-portal-link,https://www.affordablehousing.com/plano-tx/collin-creek-851899/
2666205,Parkside At Legacy V Apts,Plano,310,no-portal-link,https://www.dallasapartmentsuptown.com/estate/parkside-at-legacy-apartments/
2070489,Sheridan Park At Spring Creek Apartments,Plano,300,no-portal-link,https://www.furnishedhousing.com/property/50180/tx/plano/sheridan-park-at-spring-creek
2560139,Axis 3700,Plano,300,no-portal-link,https://www.student.com/us/tx/richardson/p/axis-3700
2843992,Legacy North,Plano,293,no-portal-link,https://www.legacynorthapts.com/
2712754,Junction 15 Apartments,Plano,279,no-portal-link,http://www.junction15apartments.com
179611,Evana Grove,Plano,266,no-portal-link,http://evanagrove.com/
2071041,Parker Apartments,Plano,264,no-portal-link,https://parkerplano.com/
2672946,Park At Gateway Apartments,Plano,255,no-portal-link,https://reviews.birdeye.com/park-at-gateway-156779284284034
1865440,Canterbury Courts Apartments,Richardson,240,no-portal-link,https://www.canterburycourts.com/
1716655,Hathaway At Willow Bend,Plano,229,no-portal-link,https://multifamilyaffordablehousing.com/granite-towers-equity-group-acquires-hathaway-at-willow-bend-in-plano-texas/
2632167,Conservatory At Plano Senior Apartments,Plano,222,no-portal-link,https://conservatoryatplano.com/
2631255,Atria Canyon Creek Senior Apts,Plano,213,no-portal-link,https://www.atriaseniorliving.com/retirement-communities/atria-canyon-creek-plano-tx
2843990,Legacy Town North Phase Iv Apts,Plano,210,no-portal-link,https://www.legacynorthapts.com/
287594,Leighton Apartments,Plano,208,no-portal-link,https://www.willowbridgepc.com/properties/the-leighton-apartments-plano-texas
26251,Lydian Apartments,Plano,160,no-portal-link,https://www.willowbridgepc.com/properties/the-lydian-apartments-plano-texas
2936294,Novum Independent Living,Plano,147,no-portal-link,https://www.after55.com/tx/plano/novum-plano/6q93pst
2843129,Patriot Park Apartments Chodo,Plano,139,no-portal-link,https://patriotparkplano.com/
2115198,Waterford At Plano A Senior Apartments,Plano,136,no-portal-link,https://www.seniorlivingguide.com/communities/the-waterford-at-plano-3401-premier-drive-plano-tx-75023/
2873065,Twin Rivers At Collin Creek Senior Living,Plano,136,no-portal-link,https://twinriversatcollincreek.com/plano-neighborhoods/
2069471,Solstice Senior Living,Plano,115,no-portal-link,https://solsticeseniorlivingplano.com/
13310,Shiloh Park,Plano,73,no-portal-link,https://www.shilohparkapts.com/
1524318,Cobblestone Condos,Plano,71,no-portal-link,https://thebauergrouprealty.com/home-search/listings/v2/tx/plano/cobblestone/condos
354556,Pleasant Park Apartments,Plano,32,no-portal-link,https://magicpin.com/usa/Plano/Downtown-Plano/Other/Pleasant-Park-Apartments/store/246a066
180271,Courtyard Apartments,Plano,28,no-portal-link,https://www.travelweekly.com/Hotels/Plano-TX/Courtyard-Dallas-Plano-Parkway-p53239725
