apt_id,name,address,city,county,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
65031341010039900,University Village - Fka Waterview Park Apts,2200 Waterview Pkwy,Richardson,Dallas,75080,888,1988,BOARD OF REG OF UNIV OF TX SYSTEM,1,65031341010039900,B11
42146400000010000,La Mirada,1400 Cavalier Dr,Richardson,Dallas,75080,622,1977,LA MIRADA PROPERTY,1,42146400000010000,B11
422610000B0030000,Camden Buckingham,430 Buckingham Rd,Richardson,Dallas,75081,464,1996,CAMDEN PROPERTY TRUST,1,422610000B0030000,B11
422130100304C0000,Greenvue,1350 N Greenville Ave,Richardson,Dallas,75081,408,2014,1350 GREENVUE LLC,1,422130100304C0000,B11
420147400001A0000,Block 24,901 Jupiter Rd,Richardson,Dallas,75081,396,2002,FST BLOCK 24 LLC,1,420147400001A0000,B11
420687500A02A0000,Eastside Ii North,1735 N Greenville Ave,Richardson,Dallas,,384,2025,RICHARDSON ALMA II LLC,1,420687500A02A0000,B11
420746700C0010000,Junction At Galatyn Park,1050 Galatyn Pkwy,Richardson,Dallas,75082,379,2016,BEL GALATYN LIMITED,1,420746700C0010000,B11
422319200B01A0000,Green Valley Apmt (N/C 7%),111 W Spring Valley Rd,Richardson,Dallas,,375,2026,LANG SHERMAN VENTURE LLC,1,422319200B01A0000,B11
420746700A08A0000,Cue Galatyn Station Apts,2305 Plaza Blvd,Richardson,Dallas,75082,372,2018,2305 PLAZA TX OWNER LP,1,420746700A08A0000,B11
420687500A0050000,Maa Eastside,1801 N Greenville Ave,Richardson,Dallas,75081,351,2008,POST EASTSIDE LTD PS,1,420687500A0050000,B11
420174000B07A0000,Arboretum Estates,411 Buckingham Rd,Richardson,Dallas,75081,338,1997,CF ARBORETUM MULTIFAMILY DST,1,420174000B07A0000,B11
420175100B0010000,Sweetwater At Buckingham,540 Buckingham Rd,Richardson,Dallas,75081,312,1994,SWEETWATER OWNER LLC,1,420175100B0010000,B11
422209300B0020000,Sonterra At Buckingham,530 E Buckingham Rd,Richardson,Dallas,75081,312,1995,530 BUCKINGHAM OWNER LLC,1,422209300B0020000,B11
420746700A0050000,Galatyn Station,2301 Performance Dr,Richardson,Dallas,75082,285,2007,AK GALATYN OWNER LLC,1,420746700A0050000,B11
420687500A01B0000,Mallory Eastside,1705 N Greenville Ave,Richardson,Dallas,75081,281,2015,RICHARDSON ALMA LLC,1,420687500A01B0000,B11
