apt_id,website,website_source,confidence,query,notes,area
65031341010039900,https://cccres.com/apartments/detail/university-village-fka-waterview-park-apts-richardson,search,high,"""University Village - Fka Waterview Park"" 2200 Waterview Pkwy Richardson TX apartments",UNIVERSITY VILLAGE - FKA WATERVIEW PARK APTS ... - CCCRES,dallas
42146400000010000,https://trellis.law/doc/119883023/original-petition,search,high,"""La Mirada"" 1400 Cavalier Dr Richardson TX apartments","La Mirada Property Owner, Llc",dallas
422610000B0030000,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham,search,high,"""Camden Buckingham"" 430 Buckingham Rd Richardson TX apartments",Camden Buckingham - Richardson,dallas
422130100304C0000,https://www.liveatgreenvue.com/,search,high,"""Greenvue"" 1350 N Greenville Ave Richardson TX apartments","GreenVue | Apartments in Richardson, TX",dallas
420147400001A0000,,search,none,"""Block"" 901 Jupiter Rd Richardson TX apartments","blanked: block24retail.com is the retail-only leasing page, not the apartment community's own site",dallas
420687500A02A0000,https://www.entrytech.net/current-projects/,search,high,"""Eastside Ii North"" Richardson TX apartments",Current Projects - Entry Tecnologies of North Texas,dallas
420746700C0010000,https://junctionatgalatynpark.com/,search,high,"""Junction At Galatyn Park"" 1050 Galatyn Pkwy Richardson TX apartments",Junction at Galatyn Park: Richardson apartments for rent,dallas
422319200B01A0000,https://www.liveatgreenvue.com/,search,high,Green Valley Apmt (N/C 7%) Richardson TX apartments official site,"GreenVue | Apartments in Richardson, TX",dallas
420746700A08A0000,https://www.cueluxury.com/,search,high,"""Cue Galatyn Station"" 2305 Plaza Blvd Richardson TX apartments","Cue Galatyn Station: Luxury Apartments in Richardson, TX",dallas
420687500A0050000,https://www.maac.com/texas/dallas/maa-eastside/,search,high,"""Maa Eastside"" 1801 N Greenville Ave Richardson TX apartments","MAA Eastside Luxury Apartments in Richardson, TX",dallas
420174000B07A0000,https://www.harborgroupmanagement.com/apartments/tx/richardson/arboretum-estates,search,high,"""Arboretum Estates"" 411 Buckingham Rd Richardson TX apartments","1, 2 & 3 Bedroom Apartments in Richardson, TX | Arboretum",dallas
420175100B0010000,https://www.apartmentadvisor.com/details/540-buckingham-rd-richardson-tx-75081,search,high,"""Sweetwater At Buckingham"" 540 Buckingham Rd Richardson TX apartments","Sweetwater at Buckingham - Richardson, TX",dallas
422209300B0020000,https://www.530buckingham.com/,search,high,"""Sonterra At Buckingham"" 530 E Buckingham Rd Richardson TX apartments","530 Buckingham: Richardson, TX Apartments for Rent",dallas
420746700A0050000,https://galatynstationrichardson.com/,search,high,"""Galatyn Station"" 2301 Performance Dr Richardson TX apartments","Galatyn Station: Luxury Apartments in Richardson, TX",dallas
420687500A01B0000,https://www.livemalloryeastsiderichardson.com/,search,high,"""Mallory Eastside"" 1705 N Greenville Ave Richardson TX apartments",The Mallory | Luxury Richardson Apartments Near North Dallas,dallas
421046500M01B0000,https://cccres.com/apartments/detail/brick-row-apts-bldg-b-the-station-richardson,search,medium,"""Brick Row Apts Bldg B The Station"" Richardson TX apartments",744 BRICK ROW Apartments RICHARDSON — 2 Bed ... - CCCRES,dallas
