state,abbr,state_total,city,city_count
Texas,TX,40,Houston,7
Texas,TX,40,Fort Worth,5
Texas,TX,40,McKinney,5
North Carolina,NC,32,Durham,6
North Carolina,NC,32,Raleigh,5
North Carolina,NC,32,Greensboro,5
Arizona,AZ,27,Phoenix,5
Arizona,AZ,27,Scottsdale,5
Arizona,AZ,27,Tempe,4
Florida,FL,26,Fort Myers,5
Florida,FL,26,Miami,4
Florida,FL,26,Orlando,4
Washington,WA,24,Tacoma,5
Washington,WA,24,Vancouver,5
Washington,WA,24,Everett,5
Virginia,VA,20,Virginia Beach,6
Virginia,VA,20,Richmond,4
Virginia,VA,20,Alexandria,4
California,CA,19,Sacramento,8
California,CA,19,Chula Vista,4
California,CA,19,San Francisco,3
Tennessee,TN,16,Murfreesboro,4
Tennessee,TN,16,Chattanooga,4
Tennessee,TN,16,Clarksville,2
Colorado,CO,14,Denver,4
Colorado,CO,14,Fort Collins,4
Colorado,CO,14,Aurora,3
Ohio,OH,10,Columbus,4
Ohio,OH,10,Cleveland,2
Ohio,OH,10,Dayton,2
Georgia,GA,8,Sandy Springs,3
Georgia,GA,8,Port Wentworth,1
Georgia,GA,8,Union City,1
New Jersey,NJ,6,Weehawken,2
New Jersey,NJ,6,Jersey City,1
New Jersey,NJ,6,Newark,1
Wisconsin,WI,5,Madison,5
Utah,UT,4,Salt Lake City,3
Utah,UT,4,West Jordan,1
New York,NY,3,Syracuse,2
New York,NY,3,Port Chester,1
Kentucky,KY,2,Louisville,2
Kansas,KS,1,Wichita,1
Massachusetts,MA,1,Arlington,1
Illinois,IL,1,Wheeling,1
Michigan,MI,1,Marquette,1
