area,name,city,address,units,stage,signal,why,permit_date,opening_date,sale_date,buyer,developer,office_phone,website,software,permit_link,news_link,website_link,agenda_link,map_link,source_link,region,status
nm,24Cb0506272,Las Cruces,3635 CENTRAL AVE,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2025-02-14,,,,SIERRA NORTE DEVELOPMENT INC,,,,https://maps.las-cruces.org/gis/rest/services/Information_Services/MapServer/1/query?where=PropUseGrp%3D%27APARTMENT%27%20AND%20Permit_Type%3D%27NEW%27&outFields=*&f=json&resultRecordCount=1000&orderByFields=Issued_Date%20DESC&returnGeometry=false,,,,,https://lascruces.gov/directories-resources/permits-licenses-and-registrations/,,Upcoming
nm,24Cb0502937,Las Cruces,1155 N MIRANDA ST,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2025-11-14,,,,ORL CONSTRUCTION LP,,,,https://maps.las-cruces.org/gis/rest/services/Information_Services/MapServer/1/query?where=PropUseGrp%3D%27APARTMENT%27%20AND%20Permit_Type%3D%27NEW%27&outFields=*&f=json&resultRecordCount=1000&orderByFields=Issued_Date%20DESC&returnGeometry=false,,,,,https://lascruces.gov/directories-resources/permits-licenses-and-registrations/,,Upcoming
nm,Desert Hope II dba Paseos Verdes,Las Cruces,SEC Colorado Ave & S Campo St,80,planned,Planned (not permitted yet),Planned · expected: not public yet · 80 units · software not chosen yet,,,,,Mesilla Valley Public Housing Authority,,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Elk Meadows Apartments,Ruidoso,1104 Mechem Drive,72,planned,Planned (not permitted yet),Planned · expected: not public yet · 72 units · software not chosen yet,,,,,Enriched Communities LLC,,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Somos Apartments,Albuquerque,7200 Central Avenue SE,70,planned,Planned (not permitted yet),Planned · expected: not public yet · 70 units · software not chosen yet,,,,,Sol Housing,,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Ocate Apartments,Santa Fe,1111 Ocate Road,60,planned,Planned (not permitted yet),Planned · expected: not public yet · 60 units · software not chosen yet,,,,,Santa Fe Civic Housing Authority,,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Niko Commons,Bernalillo,230 Spartan Alley,55,planned,Planned (not permitted yet),Planned · expected: not public yet · 55 units · software not chosen yet,,,,,"Spire Development, Inc.",,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Nueva Acequia 9%,Santa Fe,0 Camino de Jacobo,53,planned,Planned (not permitted yet),Planned · expected: not public yet · 53 units · software not chosen yet,,,,,"TWG Development, LLC",,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Desert Sun III,Deming,"Fairfield Dr NW, east of 8th St",53,planned,Planned (not permitted yet),Planned · expected: not public yet · 53 units · software not chosen yet,,,,,H.E.R.O.,,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Edward Romero Terrace II,Albuquerque,103 Texas Street NE,51,planned,Planned (not permitted yet),Planned · expected: not public yet · 51 units · software not chosen yet,,,,,Elderly Housing Development and,,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,San Mateo Manor,Albuquerque,612 San Mateo Blvd SE,50,planned,Planned (not permitted yet),Planned · expected: not public yet · 50 units · software not chosen yet,,,,,"Spire Development, Inc.",,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
nm,Este Es Otono,Taos,SWC Este Es & Otono Roads,35,planned,Planned (not permitted yet),Planned · expected: not public yet · 35 units · software not chosen yet,,,,,"GHK Properties, LLC",,,,,,,,,https://housingnm.org/uploads/documents/2001-2026_Housing_Tax_Credit_Awards_05.22.2026.xlsx,,Planned
