apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
2615335,Northside At Legacy I Apartments,7560 Bishop Rd,Plano,75024,793,2007,5765 BOZEMAN (TX) OWNER LP,4,2615335;2632842;2843977;2843978,MFU
2096027,Cortland West Plano,8123 Ohio Dr,Plano,75024,769,1998,TX APT 8205 TOWNE MAIN DRIVE LP,3,2096027;2096031;2649742,MFU
2047952,The Gio Apartments,5000 K Ave,Plano,75074,730,1995,SREIT GIO APARTMENTS LLC,2,2047952;2047953,MFU
2544026,Legacy Village Apts Phase Ii,5701 Scruggs Way,Plano,75024,720,2004,UDR LEGACY VILLAGE LLC,6,2544026;2557311;2557312;2557313;2567181;2608481,MFU
2750390,Grand At Legacy West Apartments,6080 Water St,Plano,75024,621,2015,LW OWNER 1 LLC,2,2750390;2750393,MFU
2143049,Cortland North Plano Apartments,9601 Custer Rd,Plano,75025,548,1998,CUSTER TX PARTNERS LLC,1,2143049,MFU
2929400,The Beacon,4065 Beacon Square Blvd,Plano,75075,539,2022,BEACON SQUARE ASSOCIATION INC &,3,2929400;2929401;2929403,MFU
2652395,Estancia At Ridgeview Ranch Apartments,10200 Independence Pkwy,Plano,75025,500,2006,ESTANCIA APARTMENT PARTNERS,1,2652395,MFU
2111968,Maa Los Rios,4701 14Th St,Plano,75074,498,1999,MID-AMERICA APARTMENTS LP,1,2111968,MFU
1503260,Creekside Village Apts,3400 Park Blvd,Plano,75075,480,1983,NSCC CREEKSIDE 12B LLC,1,1503260,MFU
2095999,23Hundred @ Ridgeview,2300 Kathryn Ln,Plano,75025,480,1998,CH REALTY X MF PLANO 23 HUNDRED LP,1,2095999,MFU
357054,Bel Air Oaks,700 W Plano Pkwy,Plano,75075,474,1965,PLANO PUBLIC FACILITY CORPORATION,1,357054,MFU
2557400,Windhaven Park  Apartments,6201 Windhaven Pkwy,Plano,75093,474,1990,AG-HILLTOP WINDHAVEN PROPERTY OWNER LP,1,2557400,MFU
2544628,Saxony At Chase Oaks Apartments,300 Legacy Dr,Plano,75023,470,1994,SAXONY AT CHASE OAKS PARTNERSHIP,1,2544628,MFU
1986344,La Costa Apartments,6100 Ohio Dr,Plano,75024,462,1991,WESTDALE LA COSTA TX LP,2,1986344;1999757,MFU
1988024,Evoke,1025 Preston Rd,Plano,75093,459,2016,BEAUMEADE EVOKE LLC &,1,1988024,MFU
2571959,Maa Market Center I,3825 Mapleshade Ln,Plano,75075,454,2012,MAALP MARKET CENTER LLC,1,2571959,MFU
2107994,Mission Gate Apartments,8025 Ohio Dr,Plano,75024,434,1998,WRPV XIV MG PLANO LP &,1,2107994,MFU
1708003,Westside Apartments,1515 Rio Grande Dr,Plano,75075,412,1984,RRE BRENTDALE HOLDINGS LLC,1,1708003,MFU
2006652,Villas Of Preston Creek Apartments,6900 Preston Rd,Plano,75024,408,1992,FRANKEL FAMILY TRUST THE,2,2006652;2006876,MFU
2646098,Riachi At One 21 Apartments,9600 Coit Rd,Plano,75025,402,2007,MFREVF V - PLANO LP,1,2646098,MFU
2785825,Windsor Metro West Apartments,8055 Windrose Ave,Plano,75024,401,2017,IMP METRO WEST LLC,1,2785825,MFU
2614633,Dorian,8401 Memorial Ln,Plano,75024,398,2007,KV TRIBECA APARTMENTS LLC,1,2614633,MFU
2581386,Villas Of Spring Creek Ii Apartments,6301 Stonewood Dr,Plano,75024,396,1999,CREEKWOOD SPRINGCREEK DEVELOPMENT LP,2,2581386;2581388,MFU
1627494,The Dayton,6000 Ohio Dr,Plano,75093,389,1985,PECOS HOUSING FINANCE CORPORATION,1,1627494,MFU
2739046,Centric One90,680 Executive Dr,Plano,75074,386,2014,TRG BUSH TURNPIKE LP,1,2739046,MFU
2763841,Jada Legacy Central Tc,6501 Excellence Way,Plano,75023,385,2018,PLANO PUBLIC FACILITY CORPORATION,1,2763841,MFU
2058512,Creekside At Legacy Apartments,6300 Windcrest Dr,Plano,75024,380,1996,KEY CREEKSIDE LLC,1,2058512,MFU
2861988,Ferro,1005 11Th St,Plano,75074,379,2021,TB PLANO 1 LLC,1,2861988,MFU
2023604,Thornbury At Chase Oaks Apartments,7101 Chase Oaks Blvd,Plano,75025,376,1994,PLANO PUBLIC FACILITY CORPORATION,1,2023604,MFU
1771372,Steeplechase Apartments,7301 Alma Dr,Plano,75025,368,1984,PLANO PUBLIC FACILITY CORPORATION,1,1771372,MFU
2028165,Bentley Place At Willow Bend Apartments,5945 W Parker Rd,Plano,75093,368,1995,DALLAS BENTLEY I LP &,1,2028165,MFU
2058800,1201 Park Apartments,1201 E Park Blvd,Plano,75074,368,1996,1201 PARK PLANO ASSOCIATES LLC,1,2058800,MFU
2039201,Carrington Park Apartments,3001 Communications Pkwy,Plano,75093,364,1994,TREA CARRINGTON PARK LLC,1,2039201,MFU
2895746,Windsor West Plano,2100 Legacy Dr,Plano,75023,363,2022,COLUMBIA LEGACY SQUARE LP,1,2895746,MFU
1708628,Waterford On The Meadow Apartments,1414 Shiloh Rd,Plano,75074,350,1984,H20 WATERFORD 12C LLC,1,1708628,MFU
2924684,One 90 Gateway,3201 Wynwood Dr,Plano,75074,347,2021,PLANO HOUSING AUTHORITY,1,2924684,MFU
2058069,Legends At Chase Oaks Apartments,701 Legacy Dr,Plano,75023,346,1996,701 LEGACY DRIVE SPE LLC &,1,2058069,MFU
2053077,Brooks On Preston Apartments,7200 Preston Rd,Plano,75024,342,1995,JANRIC ENTERPRISES LTD,1,2053077,MFU
