apt_id,website,website_source,confidence,query,notes
65031341010039900,https://cccres.com/apartments/detail/university-village-fka-waterview-park-apts-richardson,search,high,"""University Village - Fka Waterview Park"" 2200 Waterview Pkwy Richardson TX apartments",UNIVERSITY VILLAGE - FKA WATERVIEW PARK APTS ... - CCCRES
42146400000010000,https://trellis.law/doc/119883023/original-petition,search,high,"""La Mirada"" 1400 Cavalier Dr Richardson TX apartments","La Mirada Property Owner, Llc"
422610000B0030000,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham,search,high,"""Camden Buckingham"" 430 Buckingham Rd Richardson TX apartments",Camden Buckingham - Richardson
422130100304C0000,https://www.liveatgreenvue.com/,search,high,"""Greenvue"" 1350 N Greenville Ave Richardson TX apartments","GreenVue | Apartments in Richardson, TX"
420147400001A0000,https://block24retail.com/,search,high,"""Block"" 901 Jupiter Rd Richardson TX apartments",Block 24 Retail
420687500A02A0000,https://www.entrytech.net/current-projects/,search,high,"""Eastside Ii North"" Richardson TX apartments",Current Projects - Entry Tecnologies of North Texas
420746700C0010000,https://junctionatgalatynpark.com/,search,high,"""Junction At Galatyn Park"" 1050 Galatyn Pkwy Richardson TX apartments",Junction at Galatyn Park: Richardson apartments for rent
422319200B01A0000,https://www.liveatgreenvue.com/,search,high,Green Valley Apmt (N/C 7%) Richardson TX apartments official site,"GreenVue | Apartments in Richardson, TX"
420746700A08A0000,https://www.cueluxury.com/,search,high,"""Cue Galatyn Station"" 2305 Plaza Blvd Richardson TX apartments","Cue Galatyn Station: Luxury Apartments in Richardson, TX"
420687500A0050000,https://www.maac.com/texas/dallas/maa-eastside/,search,high,"""Maa Eastside"" 1801 N Greenville Ave Richardson TX apartments","MAA Eastside Luxury Apartments in Richardson, TX"
420174000B07A0000,https://www.harborgroupmanagement.com/apartments/tx/richardson/arboretum-estates,search,high,"""Arboretum Estates"" 411 Buckingham Rd Richardson TX apartments","1, 2 & 3 Bedroom Apartments in Richardson, TX | Arboretum"
420175100B0010000,https://www.apartmentadvisor.com/details/540-buckingham-rd-richardson-tx-75081,search,high,"""Sweetwater At Buckingham"" 540 Buckingham Rd Richardson TX apartments","Sweetwater at Buckingham - Richardson, TX"
422209300B0020000,https://www.530buckingham.com/,search,high,"""Sonterra At Buckingham"" 530 E Buckingham Rd Richardson TX apartments","530 Buckingham: Richardson, TX Apartments for Rent"
420746700A0050000,https://galatynstationrichardson.com/,search,high,"""Galatyn Station"" 2301 Performance Dr Richardson TX apartments","Galatyn Station: Luxury Apartments in Richardson, TX"
420687500A01B0000,https://www.livemalloryeastsiderichardson.com/,search,high,"""Mallory Eastside"" 1705 N Greenville Ave Richardson TX apartments",The Mallory | Luxury Richardson Apartments Near North Dallas
421046500M01B0000,https://cccres.com/apartments/detail/brick-row-apts-bldg-b-the-station-richardson,search,medium,"""Brick Row Apts Bldg B The Station"" Richardson TX apartments",744 BRICK ROW Apartments RICHARDSON — 2 Bed ... - CCCRES
42075080000000000,https://www.agingchoices.com/provider/encore-at-buckingham-richardson-tx/a1d5a7ba-efe1-4c51-b45a-9a23facdc159,search,medium,"""Encore At Buckingham (Senior Living)"" 535 Buckingham Rd Richardson TX apartments","Encore at Buckingham, Richardson TX"
65034559010010000,https://housing.utdallas.edu/housing-options/university-village/,search,high,Utd Phase 6 Housing (Apartment Style) Richardson TX apartments official site,UTD - University Village | Housing
42138500010010000,https://www.fallsonclearwoodapts.com/,search,high,"""Falls On Clearwood"" 613 Clearwood Dr Richardson TX apartments","Apartments in Richardson, TX | Falls on Clearwood | Home"
42232500000030000,https://www.windhamchase.com/,search,high,"""Windham Chase"" 1330 W Spring Valley Rd Richardson TX apartments",Windham Chase: Home
421046500S01B0000,https://www.simpsonpropertygroup.com/apartments/richardson-texas/brick-row-apartments-downtown-plano,search,medium,Brick Row Apts Bldg A The Quarters Richardson TX apartments official site,"Richardson, TX Apartments | Brick Row"
42086400000010000,https://www.oaklineapts.com/,search,high,"""Oakline"" 900 Frances Way Richardson TX apartments",Oakline Apartments | Home Page
42099310010010000,https://www.madisononmelrose.com/,search,high,"""Madison On Melrose"" 1520 Richardson Dr Richardson TX apartments",Madison at Melrose: Apartments with Yards in Richardson TX
42002600010010000,https://livebh.com/apartments/cutters-point-apartment-homes/,search,high,"""Cutters Point"" 1111 Abrams Rd Richardson TX apartments",Cutters Point Apartment Homes
42124900000010000,https://www.liveprestonwood.com/,search,high,"""Prestonwood"" 333 Prestonwood Dr Richardson TX apartments","Prestonwood Apartments in Richardson, TX | Pet-Friendly"
42232500000010000,https://www.shenandoahatspringvalley.com/,search,high,"""Shenandoah"" 939 Allegheny Ct Richardson TX apartments","Shenandoah Apartments | Apartments in Richardson, TX"
42269700000010000,https://www.ourcommunityrealty.com/listings/detail/24df28bc-ab99-4a46-ba2b-5ee6e69db654,search,high,"""Lakeside On Spring Valley"" 1000 W Spring Valley Rd Richardson TX apartments","1000 W Spring Valley Rd - 156, Richardson, TX 75080"
422446000A01A0000,https://twinriversseniorliving.com/,search,high,"""Twin Rivers Senior Living"" 201 S Glenville Dr Richardson TX apartments","55+ Senior Retirement Living in Richardson, TX | Twin Rivers"
42043700000010000,https://www.apartmentsearch.com/apartments/texas/richardson/valley-estates,search,high,"""Valley Estates"" 929 St Paul Dr Richardson TX apartments",Apartments at Valley Estates - Richardson
420716000101B0000,https://www.trelliscanyoncreek.com/,search,high,"""Trellis Canyon Creek"" 2301 N Central Expy Richardson TX apartments","TRELLIS CANYON CREEK Apartments in Richardson, Texas"
42256600020060000,https://www.student.com/us/tx/richardson/p/university-village-apartments-ljav6s,search,medium,University Village Apts (Ecu) Richardson TX apartments official site,"University Village Apartments, Richardson"
42118500010220000,https://www.mycamelotapts.com/,search,high,"""Camelot"" Richardson TX apartments","Camelot Apartments - Apartment Living in Richardson, TX"
65034559010020000,https://cccres.com/apartments/detail/utd-phase-7-housing-apartment-style-richardson,search,high,"""Utd Phase 7 Housing (Apartment Style)"" 2400 Armstrong Pkwy Richardson TX apartments",UTD PHASE 7 HOUSING (APARTMENT STYLE) RICHARDSON...
42241300000010000,https://apartmentwolf.com/property/lakefront-villas/,search,high,"""Lakefront Villas"" 900 W Spring Valley Rd Richardson TX apartments",Lakefront Villas
42213500010010000,https://www.movoto.com/richardson-tx/800-custer-rd-apt-256-richardson-tx-75080-4002_776x6d3gdkab/for-rent/,search,medium,"""Belle Grove At Custer"" 800 Custer Rd Richardson TX apartments","800 Custer Rd #256, Richardson, TX 75080 | 40 Photos"
42213500020010000,https://cccres.com/apartments/detail/bell-grove-at-custer-richardson,search,medium,"""Bell Grove At Custer"" 700 Custer Rd Richardson TX apartments",700 CUSTER RD Apartments RICHARDSON — Apartments
420687500A0040000,https://www.liveherehousing.com/utdallas/review,search,low,"""Post Eastside Apt"" Richardson TX apartments",Review ‹ UTDALLAS Housing Richardson
42432150000010000,https://flbo-prod.azurewebsites.net/property/flbo6001902,search,low,"""Lafayette Square"" 915 S Waterview Dr Richardson TX apartments",925 S. Waterview Dr - For Lease By Owner
421046500O01C0000,https://cccres.com/apartments/detail/brick-row-the-point-richardson,search,high,"""Brick Row- The Point"" 151 Brick Row Richardson TX apartments",BRICK ROW- THE POINT RICHARDSON — 2 Bed Apartments
42149500020010000,,search,none,Heather Glen Richardson TX apartments official site,no acceptable result
42149500010020000,https://www.uspto.gov/news/og/2002/week53/patprac.htm,search,low,"""Tradewinds"" 104 S Bowser Rd Richardson TX apartments",Registration to Practice - OG Date: 31 December 2002
42234500000090000,https://texas.realest-us.org/post-75080.htm,search,low,"""Huntington Town"" 910 Spring Valley Plaza Richardson TX apartments","Post: 75080, County: Dallas, City: Richardson, Texas, Real estate ..."
42233500010010000,https://www.livehillsdalegarden.com/,search,high,"""Hillsdale Garden"" 800 W Spring Valley Rd Richardson TX apartments","Hillsdale Garden ApartmentsRichardson , TX | Welcome Home"
42149500020040000,https://legacyhomesandproperties.net/properties-for-sale/properties-for-sale-dallas/,search,low,"""Villa D Este"" 113 S Bowser Rd Richardson TX apartments","Dallas, TX Homes and Houses for Sale"
42233500020010000,https://www.brazosoaksspringvalley.com/,search,high,"""Oaks At Spring Valley"" 740 W Spring Valley Rd Richardson TX apartments","Oaks at Spring Valley: Apartments in Richardson, TX"
421046500N01B0000,https://cccres.com/apartments/detail/brick-row-apts-bldg-c-the-springs-richardson,search,medium,"""Brick Row Apts Bldg C The Springs"" 644 Brick Row Richardson TX apartments",644 BRICK ROW Apartments RICHARDSON — Apartments
42430550000350000,https://www.liveatnorthside.com/,search,high,Central North Richardson TX apartments official site,"Northside | UT Dallas Apartments in Richardson, TX"
42430900000050000,https://reviews.birdeye.com/briarwood-apartments-166264080127384,search,high,"""Briarwood"" Richardson TX apartments","Briarwood Apartments - 9 Reviews - Real Estate in Richardson, TX ..."
421446100A0020000,https://www.parkwoodapts.net/,search,high,"""Parkwood"" Richardson TX apartments","Parkwood Apartments: All Bills Paid Apartments in Irving, TX"
42149500010040000,https://sandpiperhomes.ai/listing/95f6df8e-9917-4172-b7c6-21d38524d848,search,high,"""Sandpiper"" Richardson TX apartments",Comfortable 2BR Apartment in Richardson Near UTD & Dallas
42148500010310000,https://local.yahoo.com/info-28647083-eastgate-apartments-of-richardson-richardson/,search,high,"""Eastgate"" Richardson TX apartments",Eastgate Apartments of Richardson
42202500020010000,https://cccres.com/apartments/detail/lasalle-terrace-apts-richardson,search,medium,"""Lasalle Terrace"" 301 La Salle Dr Richardson TX apartments",301 LA SALLE DR Apartments RICHARDSON — 1 Bed ... - CCCRES
