apt_id,website,website_source,confidence,query,notes
2615335,https://sharetrip.net/hotel-deals/northside-at-legacy-apartments-plano-tx/HV2676d3b382b9dc364647efacc?nationality=BD&checkInDate=2026-07-17&checkOutDate=2026-07-18&numberOfGuestsInRooms=%5B%7B%22adults%22%3A2%2C%22children%22%3A%5B%5D%7D%5D,search,medium,"""Northside At Legacy"" 7560 Bishop Rd Plano TX apartments","Book Air Tickets, Hotels, Packages Online - ShareTrip"
2096027,https://cortland.com/apartments/cortland-west-plano/,search,high,"""Cortland West Plano"" Plano TX apartments",West Plano Apartments
2047952,,search,none,The Gio Plano TX apartments official site,no acceptable result
2544026,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/,search,high,"""Legacy Village"" 5701 Scruggs Way Plano TX apartments",Legacy Village Apartment Homes Apartments in Plano ...
2750390,https://www.thegrandatlegacywest.com/the-grand-at-legacy-west-plano,search,high,"""Grand At Legacy West"" 6080 Water St Plano TX apartments","The Grand at Legacy West: Luxury Apartments in Plano, TX"
2143049,https://cortland.com/apartments/cortland-north-plano/,search,high,"""Cortland North Plano"" 9601 Custer Rd Plano TX apartments","Apartments in Plano, TX | Cortland North Plano"
2929400,https://interchange.puc.texas.gov/Documents/56021_24_1358750.PDF,search,low,"""The Beacon"" 4065 Beacon Square Blvd Plano TX apartments",~* TEX>~
2652395,https://www.rentanapt.com/apartments/tx/plano/estancia-at-ridgeview-ranch/,search,high,"""Estancia At Ridgeview Ranch"" 10200 Independence Pkwy Plano TX apartments","Apartments at Estancia at Ridgeview Ranch in Plano, Texas"
2111968,https://www.maac.com/texas/dallas/maa-los-rios/,search,high,"""Maa Los Rios"" 4701 14Th St Plano TX apartments","Explore MAA Los Rios Luxury Apartments in Plano, TX"
1503260,https://livecreeksidevillage.com/,search,high,"""Creekside Village"" 3400 Park Blvd Plano TX apartments","Creekside Village | Apartments in Plano, TX"
2095999,https://american-landmark-23hundred-old.multiscreensite.com/neighborhood,search,high,"""23Hundred @ Ridgeview"" 2300 Kathryn Ln Plano TX apartments",Neighborhood | Apartments Near Texas Tech University
357054,https://www.belairoaks.com/,search,high,"""Bel Air Oaks"" 700 W Plano Pkwy Plano TX apartments","Bel Air Oaks | Apartments in Plano, TX"
2557400,https://windhavenparkapthome.com/,search,high,"""Windhaven Park"" 6201 Windhaven Pkwy Plano TX apartments",Windhaven Park: Plano apartments for rent
2544628,https://www.saxonyatchaseoaks.com/,search,high,"""Saxony At Chase Oaks"" 300 Legacy Dr Plano TX apartments","Apartments in Plano, TX | Saxony at Chase Oaks | Home"
1986344,,search,none,La Costa Plano TX apartments official site,no acceptable result
1988024,https://www.evokeapartmentsplano.com/,search,high,"""Evoke"" 1025 Preston Rd Plano TX apartments","Evoke Apartments in Plano, Texas | Luxury Apartments"
2571959,https://www.maac.com/texas/dallas/maa-market-center/,search,high,"""Maa Market Center"" 3825 Mapleshade Ln Plano TX apartments","MAA Market Center | Apartments in Plano, TX"
2107994,https://www.missiongateapts.com/,search,high,"""Mission Gate"" 8025 Ohio Dr Plano TX apartments","Mission Gate: Apartments in Plano, TX"
1708003,https://liveatthewestside.com/,search,high,"""Westside"" 1515 Rio Grande Dr Plano TX apartments",Plano apartments for rent | The Westside
2006652,https://www.rentanapt.com/apartments/tx/plano/villas-of-preston-creek/,search,high,"""Villas Of Preston Creek"" 6900 Preston Rd Plano TX apartments",Welcome Home to Villas of Preston Creek
2646098,https://www.sunny.com/tx/plano,search,low,"""Riachi At One"" 9600 Coit Rd Plano TX apartments","Apartments for rent in Plano, TX - Sunny"
2785825,https://www.windsorcommunities.com/properties/windsor-metro-west/,search,high,"""Windsor Metro West"" 8055 Windrose Ave Plano TX apartments","Windsor Metro West | Apartments in Plano, TX"
2614633,https://www.dorianandencoreluxuryliving.com/,search,high,"""Dorian"" 8401 Memorial Ln Plano TX apartments",Dorian and Encore Apartments: West Plano Luxury Apartments
2581386,https://villasofspringcreek.com/,search,high,"""Villas Of Spring Creek"" 6301 Stonewood Dr Plano TX apartments",Top Rated West Plano Apartments You'll Love To Call Home
1627494,https://www.livethedayton.com/,search,high,"""The Dayton"" 6000 Ohio Dr Plano TX apartments",The Dayton: West Plano Apartments
2739046,https://www.centricone90.com/,search,high,"""Centric One90"" 680 Executive Dr Plano TX apartments",Plano Apartments | Centric One90 | Home
2763841,,search,none,Jada Legacy Central Plano TX apartments official site,no acceptable result
2058512,https://www.creeksideatlegacy.com/,search,high,"""Creekside At Legacy"" 6300 Windcrest Dr Plano TX apartments","Creekside At Legacy: Plano, TX Luxury Apartments in Collin ..."
2861988,https://www.liveferro.com/,search,high,"""Ferro"" 1005 11Th St Plano TX apartments",Ferro | New Luxury Apartments In Downtown Plano TX
2023604,https://www.thornburyatchaseoaksapts.com/,search,high,"""Thornbury At Chase Oaks"" 7101 Chase Oaks Blvd Plano TX apartments","Thornbury at Chase Oaks Apartments in Plano, Texas | Pet ..."
1771372,https://www.steeplechasedallas.com/,search,high,"""Steeplechase"" 7301 Alma Dr Plano TX apartments","Steeplechase Apartments: New Apartments in Plano, TX"
2028165,https://www.bentleyplaceapts.com/,search,high,"""Bentley Place At Willow Bend"" 5945 W Parker Rd Plano TX apartments","Apartments in Plano, TX | Bentley Place | Home"
2058800,https://www.1201park.com/,search,high,"""1201 Park"" 1201 E Park Blvd Plano TX apartments",1201 Park Apartments| Official Website
2039201,https://www.livecarringtonpark.com/,search,high,"""Carrington Park"" 3001 Communications Pkwy Plano TX apartments","Plano, TX, Apartments | Carrington Park | Home Page"
