apt_id,software,signal,proof_url,checked_at,unknown_reason
65031341010039900,unknown,none,,2026-09-10,no-portal-link
42146400000010000,unknown,none,,2026-09-10,no-portal-link
422610000B0030000,in-house:Camden,portal,https://www.mycamden.com/,2026-09-10,
422130100304C0000,Yardi,portal,https://liveatgreenvue.securecafenet.com/residentservices/greenvue1/userlogin,2026-09-10,
420147400001A0000,Yardi,portal,https://block24retail.securecafe.com/residentservices/block-24-retail/userlogin.aspx,2026-09-10,
420687500A02A0000,unknown,none,,2026-09-10,no-portal-link
420746700C0010000,Yardi,hop-portal,https://junctionatgalatynpark.securecafe.com/residentservices/junction-at-galatyn-park/userlogin.aspx?ssid=92c5040f9b77eba84c220f3dec13102c,2026-09-10,
422319200B01A0000,Yardi,portal,https://liveatgreenvue.securecafenet.com/residentservices/greenvue1/userlogin,2026-09-10,
420746700A08A0000,Entrata,portal,https://cueluxury.residentportal.com/auth,2026-09-10,
420687500A0050000,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,2026-09-10,
420174000B07A0000,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
420175100B0010000,unknown,none,,2026-09-10,no-portal-link
422209300B0020000,Yardi,hop-portal,https://530buckingham.securecafe.com/residentservices/530-buckingham/userlogin.aspx,2026-09-10,
420746700A0050000,RealPage,hop-portal,https://galatynstation.activebuilding.com/login,2026-09-10,
420687500A01B0000,Yardi,portal,https://livemalloryeastsiderichardson.securecafe.com/onlineleasing/the-mallory-eastside0/register.aspx,2026-09-10,
421046500M01B0000,unknown,none,,2026-09-10,no-portal-link
42075080000000000,unknown,none,,2026-09-10,no-portal-link
65034559010010000,unknown,none,,2026-09-10,no-portal-link
42138500010010000,Yardi,portal,https://fallsonclearwoodapts.securecafenet.com/residentservices/falls-on-clearwood-apartments/userlogin,2026-09-10,
42232500000030000,ResMan,portal,https://valcap.myresman.com/Portal/Access/SignIn/WHCH,2026-09-10,
421046500S01B0000,Yardi,portal,https://rentbrickrow.securecafe.com/onlineleasing/brick-row-apartments/oleapplication.aspx?stepname=floorplan&myOlePropertyID=1587112&ssid=85222ad7e6474595c3b341e752d48cda,2026-09-10,
42086400000010000,AppFolio,portal,https://awmmanagement.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v3&utm_campaign=pay_rent_button,2026-09-10,
42099310010010000,RealPage,portal,https://madisonatmelrose.activebuilding.com/login,2026-09-10,
42002600010010000,unknown,none,https://apply.funnelleasing.com/1273,2026-09-10,in-house-portal
42124900000010000,RealPage,hop-portal,https://prestonwoodapartmentshomes.loftliving.com/login,2026-09-10,
42232500000010000,Yardi,portal,https://shenandoahatspringvalley.securecafenet.com/residentservices/shenandoah0/userlogin,2026-09-10,
42269700000010000,AppFolio,portal,https://ourcommunityrealty.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v3&utm_campaign=tportal_login,2026-09-10,
422446000A01A0000,unknown,none,,2026-09-10,no-portal-link
42043700000010000,unknown,none,,2026-09-10,no-portal-link
420716000101B0000,RealPage,asset,https://trelliscanyoncreek.activebuilding.com/,2026-09-10,
42256600020060000,unknown,none,,2026-09-10,no-portal-link
42118500010220000,ResMan,portal,https://q10.myresman.com/Portal/Applicants/Availability?a=1685&p=173138ac-c1e4-4f30-95b9-f8885103f375,2026-09-10,
65034559010020000,unknown,none,,2026-09-10,no-portal-link
42241300000010000,Yardi,asset,https://www.rentcafe.com/apartments/tx/richardson/lakefront-villas/default.aspx,2026-09-10,
42213500010010000,unknown,none,,2026-09-10,no-portal-link
42213500020010000,unknown,none,,2026-09-10,no-portal-link
420687500A0040000,unknown,none,,,no-website
42432150000010000,unknown,none,,,no-website
421046500O01C0000,unknown,none,,2026-09-10,no-portal-link
42149500020010000,unknown,none,,,no-website
42149500010020000,unknown,none,,,no-website
42234500000090000,unknown,none,,,no-website
42233500010010000,RealPage,hop-portal,https://hillsdalegardens.activebuilding.com/,2026-09-10,
42149500020040000,unknown,none,,,no-website
42233500020010000,Yardi,portal,https://brazosoaksspringvalley.securecafe.com/residentservices/oaks-at-spring-valley/userlogin.aspx?dropdownlangid=999&PropLeadSource_1685149=portal,2026-09-10,
421046500N01B0000,unknown,none,,2026-09-10,no-portal-link
42430550000350000,Entrata,portal,https://northside.prospectportal.com/Apartments/module/application_authentication/property[id]/181581/show_in_popup/false/kill_session/1/,2026-09-10,
42430900000050000,unknown,none,,2026-09-10,no-portal-link
421446100A0020000,Yardi,portal,https://parkwoodapts.securecafenet.com/residentservices/parkwood-0/userlogin,2026-09-10,
42149500010040000,unknown,none,,2026-09-10,no-portal-link
42148500010310000,unknown,none,,2026-09-10,no-portal-link
42202500020010000,unknown,none,,2026-09-10,no-portal-link
