apt_id,name,sale_date,deed_type,new_owner,previous_owner,units,source,source_url
2820374,Orchards Market Plaza Senior Apts,2026-07-17,SWDNL,CSH PLANO ACT LLC,unknown (same owner name in 2025 roll),178,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2820374)"
2041713,Ellington,2026-07-08,SWDNL,S2 PRESTON PARK LP,unknown (same owner name in 2025 roll),266,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2041713)"
1716655,Hathaway At Willow Bend,2026-06-24,SWDNL,WINSTON GT HOLDINGS LP,PECOS HOUSING FINANCE CORPORATION,229,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1716655)"
2748103,Vantage At Spring Creek,2026-06-11,SWDNL,TREA ROUTH CREEK TX OWNER LP,JDFW (VANTAGE) LLC,420,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2748103)"
2945424,Park Residences Plano,2026-03-12,WDNL,PARK RESIDENCES PLANO WEST LLC,BSPV-PLANO LLC,318,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2945424)"
2721394,Axis 110,2025-12-01,SWDNL,AREIT DALLAS CITYLINE LLC,unknown (same owner name in 2025 roll),351,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2721394)"
2058069,Legends At Chase Oaks Apartments,2025-09-29,SWDNL,701 LEGACY DRIVE SPE LLC,unknown (same owner name in 2025 roll),346,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2058069)"
2710065,Overture Plano Senior Apartments,2025-09-26,WDNL,DHC HYB SLC PROPERTIES LLC,SNH SE PROPERTIES TRUST,168,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2710065)"
1511233,The Wexley,2025-08-01,SWDNL,HARVESTREE OWNER LLC,HARVESTREE APARTMENTS LLC,204,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1511233)"
2095999,23Hundred @ Ridgeview,2025-06-26,SWDNL,CH REALTY X MF PLANO 23 HUNDRED LP,23HUNDRED AT RIDGEVIEW LP,480,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2095999)"
1503117,Bellevue At Spring Creek Apartments,2025-06-24,SWDNL,SPRING CREEK 278 LLC,unknown (same owner name in 2025 roll),278,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1503117)"
2058066,Breckinridge Point Apartments,2025-06-13,SWDNL,BRECKINRIDGE POINT TX LLC,unknown (same owner name in 2025 roll),226,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2058066)"
2058065,Breckenridge Point Apartments,2025-06-13,SWDNL,BRECKINRIDGE POINT TX LLC,unknown (same owner name in 2025 roll),214,Collin CAD 2026 vs 2025,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2058065)"
