rank,score,score_size,score_timing,score_signal,score_open,signal,ref_id,name,city,units,software,why,sources
1,97,39,28,15,15,upcoming,richardson-390-unit-project-at-2520-n-central-expressway,390-unit project at 2520 N Central Expressway,Richardson,390,not chosen yet,Zoning approved Jan 2024 · 390 units · opens ~2027 → software not chosen yet.,https://communityimpact.com/richardson/development/rezoning-for-richardson-apartment-building-along-us-75-glenville-drive-approved/
2,95,35,30,15,15,upcoming,plano-351-unit-project-at-4701-w-park-blvd,351-unit project at 4701 W Park Blvd,Plano,351,not chosen yet,Zoning filed Aug 2026 · 351 units → software not chosen yet.,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
3,92,36,26,15,15,upcoming,plano-360-unit-project-in-downtown-plano,360-unit project in downtown Plano,Plano,360,not chosen yet,Site plan approved · 360 units → software not chosen yet.,https://communityimpact.com/plano/government/plano-commission-approves-new-site-plan-for-360-apartment-project-in-downtown-plano/
4,92,40,22,15,15,upcoming,richardson-legacy-arapaho,Legacy Arapaho,Richardson,443,not chosen yet,Permit issued Jun 2026 · 443 units · opens ~2028 → software not chosen yet.,https://communityimpact.com/richardson/government/443-unit-apartment-complex-approved-by-richardson-city-council/
5,90,30,30,15,15,upcoming,plano-304-unit-project-at-spring-creek-pkwy-k-ave,304-unit project at Spring Creek Pkwy & K Ave,Plano,304,not chosen yet,Zoning filed Jul 2026 · 304 units → software not chosen yet.,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
6,86,38,18,15,15,upcoming,richardson-the-caroline-eastside,The Caroline Eastside,Richardson,384,not chosen yet,Under construction · 384 units → software not chosen yet.,https://communityimpact.com/richardson/development/eastside-apartment-expansion-underway-in-richardson/
7,83,23,30,15,15,sold,1716655,Hathaway At Willow Bend,Plano,229,unknown,Sold Jun 2026 to WINSTON GT HOLDINGS LP · 229 units · software not yet identified → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1716655)"
8,80,40,20,15,5,sold,2748103,Vantage At Spring Creek,Richardson,420,Yardi,Sold Jun 2026 to TREA ROUTH CREEK TX OWNER LP · 420 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2748103);https://vantagespringcreek.securecafenet.com/residentservices/vantage-at-spring-creek0/userlogin"
9,77,27,30,15,5,sold,2041713,Ellington,Plano,266,Yardi,Sold Jul 2026 to S2 PRESTON PARK LP · 266 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2041713);https://liveellington.securecafe.com/onlineleasing/the-ellington5/guestlogin.aspx"
10,76,28,18,15,15,upcoming,richardson-polk-st-multifamily,Polk St Multifamily,Richardson,281,not chosen yet,Under construction Apr 2026 · 281 units · opens ~2027 → software not chosen yet.,https://communityimpact.com/richardson/development/developers-break-ground-on-281-unit-multifamily-community-in-richardson/
