url,title,vendor,signal,evidence
https://liveari.com/,"The Best Apartments in Tucson, AZ",Entrata,portal,https://liveari.residentportal.com/auth
https://www.downtowntucsonapartments.com/,Luxury Apartments in Downtown Tucson AZ | Official Site,unknown,error,crawl failed
https://yugo.com/,Tucson Campus | University of Arizona Housing,unknown,error,crawl failed
https://compassaffordablehousing.org/,CAH Housing | compassaffordablehousing.org,unknown,,
https://moderneatrockingk.com/,"Moderne at Rocking K: Houses for Rent in Tucson, AZ",Yardi,portal,https://moderneatrockingk.securecafe.com/onlineleasing/in-progress-moderne-at-rocking-k/guestlogin.aspx
https://www.coldwellbankerhomes.com/,"Tucson, AZ Apartments & Homes for Rent",unknown,,
https://www.lifeattheriverwalk.com/,"Riverwalk Luxury Apartments | Apartments in Tucson, AZ",Yardi,portal,https://lifeattheriverwalk.securecafenet.com/residentservices/riverwalk-luxury-apartments-0/userlogin
https://www.myfinisterraapartments.com/,Finisterra Luxury Rentals | Luxurious Apartments in Downtown ...,Yardi,portal,https://myfinisterraapartments.securecafe.com/residentservices/finisterra-luxury-rentals/userlogin.aspx?PropLeadSource_45642=portal&_yTrackReqDT=20441920261309&_yTrackUser=NDQ4MDM0NDE1OCMxMDc3NjQ3NDg%253d-u3MifjV72yY%253d&_yTrackVisit=NzIyMzQ4ODI0OSMxMjA1NTQ0NzQ5-8mLHIUL%252fXEA%253d
https://www.tucsonlanding.com/,"Tucson Landing | Apartments in Tucson, AZ",Yardi,portal,https://tucsonlanding.securecafe.com/residentservices/tucson-landing-apartments-llc/userlogin.aspx?PropLeadSource_1982272=portal
https://residentportal.com/,ResidentPortal App,unknown,,
https://www.liveatthebenedictine.com/,"The Benedictine: Apartments in Tucson, AZ",Yardi,portal,https://liveatthebenedictine.securecafenet.com/residentservices/the-benedictine-0/userlogin
https://www.equestrianaptstucson.com/,"Equestrian | Apartments in Tucson, AZ",Yardi,portal,https://equestrianaptstucson.securecafenet.com/residentservices/equestrian/userlogin
https://www.rendezvousurbanflats.com/,"Rendezvous Urban Flats: Luxury Apartments in Tucson, AZ",unknown,error,crawl failed
https://www.echoluxapts.com/,"Home - Echo Luxury Apartments - Tucson, AZ",AppFolio,asset,https://chamberlin.appfolio.com/connect/users/sign_in
https://www.monierapartments.com/,"Monier Apartments: New Apartments in Tucson, AZ",Yardi,portal,https://monierapartments.securecafe.com/residentservices/monier-apartments/userlogin.aspx?PropLeadSource_1225653=portal&_yTrackReqDT=25441920261309&_yTrackUser=NDQ4MDM0NDI5OCMxODIzNjQxMTk3-C0aqXxe6KEU%253d&_yTrackVisit=NzIyMzQ4ODQ0MiM3NTc5NzUxNTA%253d-NBx457Z4mXY%253d
https://www.briosoatthebridges.com/,Premium Apartment Tucson| Brioso,Entrata,portal,https://briosobridgesapts.residentportal.com/auth
https://www.agave350.com/,"Agave 350 Apartments | Apartments For Rent In Tucson, AZ ...",unknown,,
https://downtowntucson.org/,West Point Apartments | Downtown Tucson Partnership,unknown,,
https://www.theflin.com/,"The Flin | Apartments in Tucson, AZ",Yardi,portal,https://theflin.securecafenet.com/residentservices/the-flin/userlogin
https://www.iconpima.com/,Amenities at Our Pet-friendly Apartments in Tucson,Yardi,portal,https://iconpima.securecafenet.com/residentservices/icon-on-pima/userlogin
https://www.nokillpimacounty.org/,"Pet-Friendly Apartments in Tucson & Pima County, Arizona",unknown,,
https://www.westernwealthcommunities.com/,"Modern 1 & 2 Bedroom Apartments in Tucson, AZ",Yardi,hop-portal,https://www.rentcafe.com/residentservices/apartmentsforrent/userlogin.aspx
https://www.apartmentfinder.com/,"Pet Friendly Apartments for Rent in Tucson, AZ",unknown,,
https://www.tanqueverdetucson.com/,"Apartments in Eastside Tucson, AZ | Tanque Verde | Home",Yardi,portal,https://tanqueverdetucson.securecafe.com/residentservices/tanque-verde-apartments/userlogin.aspx?PropLeadSource_1253118=portal
https://www.verdeapts.com/,Pet-Friendly Apartments in Tucson,Yardi,portal,https://verdeapts.rentcafe.com/resident/verde-apartments-0/login
