slug,name,state,cbsa,lat,lon
houston-tx,Houston,TX,26420,29.7604,-95.3698
san-antonio-tx,San Antonio,TX,41700,29.4241,-98.4936
austin-tx,Austin,TX,12420,30.2672,-97.7431
el-paso-tx,El Paso,TX,21340,31.7619,-106.4850
mcallen-tx,McAllen,TX,32580,26.2034,-98.2300
corpus-christi-tx,Corpus Christi,TX,18580,27.8006,-97.3964
killeen-tx,Killeen-Temple,TX,28660,31.1171,-97.7278
miami-fl,Miami,FL,33100,25.7617,-80.1918
tampa-fl,Tampa,FL,45300,27.9506,-82.4572
orlando-fl,Orlando,FL,36740,28.5383,-81.3792
jacksonville-fl,Jacksonville,FL,27260,30.3322,-81.6557
cape-coral-fl,Cape Coral-Fort Myers,FL,15980,26.5629,-81.9495
sarasota-fl,North Port-Sarasota,FL,35840,27.3364,-82.5307
lakeland-fl,Lakeland,FL,29460,28.0395,-81.9498
phoenix-az,Phoenix,AZ,38060,33.4484,-112.0740
tucson-az,Tucson,AZ,46060,32.2226,-110.9747
charlotte-nc,Charlotte,NC,16740,35.2271,-80.8431
raleigh-nc,Raleigh,NC,39580,35.7796,-78.6382
durham-nc,Durham-Chapel Hill,NC,20500,35.9940,-78.8986
greensboro-nc,Greensboro,NC,24660,36.0726,-79.7920
charleston-sc,Charleston,SC,16700,32.7765,-79.9311
greenville-sc,Greenville,SC,24860,34.8526,-82.3940
columbia-sc,Columbia,SC,17900,34.0007,-81.0348
myrtle-beach-sc,Myrtle Beach,SC,34820,33.6891,-78.8867
boise-id,Boise,ID,14260,43.6150,-116.2023
