name,city,url,status,vendor,signal,evidence,secs
"Apartments in Richardson, TX | Falls on Clearwood | Home",Richardson,https://www.fallsonclearwoodapts.com/,200,Yardi,portal,https://fallsonclearwoodapts.securecafenet.com/residentservices/falls-on-clearwood-apartments/userlogin,0.6
"Marquis at Waterview: Apartments In Richardson, TX",Richardson,https://www.marquiswaterview.com/,200,unknown,,,0.6
"Luxury Apartments in Richardson, TX | Belt & Main",Richardson,https://beltandmain.com/,200,RealPage,portal,https://9194557.onlineleasing.realpage.com/,0.5
Welcome Home to Estates of Richardson,Richardson,https://www.rentanapt.com/apartments/tx/richardson/estates-of-richardson/,200,RealPage,portal,https://property.onesite.realpage.com/welcomehome?siteId=3835684#url=%23login,0.7
"GreenVue | Apartments in Richardson, TX",Richardson,https://www.liveatgreenvue.com/,200,Yardi,portal,https://liveatgreenvue.securecafenet.com/residentservices/greenvue1/userlogin,0.6
The James at Canyon Creek: Luxury Apartments in Richardson,Richardson,https://www.thejamesatcanyoncreek.com/,200,Yardi,portal,https://thejamesatcanyoncreek.securecafenet.com/residentservices/cortland-canyon-creek/userlogin,0.4
"MAA Eastside Luxury Apartments in Richardson, TX",Richardson,https://www.maac.com/texas/dallas/maa-eastside/,200,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,0.4
"Anthem Cityline: Richardson, TX Luxury Apartments in ...",Richardson,https://www.anthemcityline.com/,200,unknown,,,0.7
"Axis 110 Modern Luxury Apartments in Richardson, TX",Richardson,https://axis110.com/,200,unknown,,,0.3
"Modern Luxury Apartments in Richardson, TX | The Register",Richardson,https://www.theregisterapts.com/,200,Yardi,portal,https://theregisterapts.securecafenet.com/residentservices/the-register1/userlogin,0.4
The Pradera: Apartments in Richardson TX,Richardson,https://thepradera.com/,200,Yardi,portal,https://thepradera.securecafe.com/onlineleasing/the-pradera-0/guestlogin.aspx,5.0
"furnished apartments in Richardson, TX",Richardson,https://www.parksrichardson.com/,200,Yardi,portal,https://parksrichardson.securecafenet.com/residentservices/parks-residential/userlogin,4.5
Reserve at Spring Creek Apartments | Apartments in ...,Richardson,https://www.liveatreserve.com/,200,Yardi,portal,https://liveatreserve.securecafenet.com/residentservices/reserve-at-spring-creek-apartments/userlogin,8.1
The Bodie | New Luxury Apartments in Richardson TX,Richardson,https://www.livebodie.com/,200,RealPage,asset,https://livebodie.loftliving.com/?ssid=3f0ff8a2d1360394f980f9eea11d2521,7.3
"Hunters Glen: Explore Apartments in Plano, TX",Plano,https://thehuntersglen.com/,200,unknown,,,6.2
"Apartments and Townhomes in Plano, TX | Windsor West ...",Plano,https://www.windsorcommunities.com/properties/windsor-west-plano/,200,Yardi,portal,https://windsorwestplano.securecafe.com/residentservices/windsor-west-plano/userlogin.aspx,10.1
"Legends at Chase Oaks | Apartments in Plano, TX",Plano,https://www.legendsatchaseoaks.com/,200,Yardi,portal,https://sitemanager.rentcafe.com/residentservices/legends-at-chase-oaks-2/userlogin.aspx,9.7
"Horizon at Premier | Apartments in Plano, TX",Plano,https://www.horizonatpremier.com/,200,Yardi,portal,https://tours-horizonatpremier.securecafe.com/residentservices/avilla-premier0/userlogin.aspx,4.8
"Apartments for Rent Plano, TX",Plano,https://www.willowbridgepc.com/texas/dallas-fort-worth/plano,200,unknown,,,5.0
Legacy North: Stunning Plano Apartments for Rent,Plano,https://www.legacynorthapts.com/,200,unknown,,,17.7
Legacy Village Apartment Homes Apartments in Plano ...,Plano,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/,200,unknown,,,6.1
"The Residences at Promontory: Plano, TX Apartments",Plano,https://www.theresidencesatpromontory.com/,200,Yardi,portal,https://theresidencesatpromontory.securecafe.com/onlineleasing/the-residences-at-promontory/register.aspx,9.2
"Villas at Legacy: Plano, TX Apartments",Plano,https://villasatlegacy-plano.com/,200,unknown,,,4.7
LVL29 at Legacy West Apartments: Luxury Apartments in Plano,Plano,https://www.lvl29life.com/,200,RealPage,portal,https://lvl29.activebuilding.com/login,9.5
Ferro | New Luxury Apartments In Downtown Plano TX,Plano,https://www.liveferro.com/,200,Yardi,portal,https://liveferro.securecafe.com/onlineleasing/ferro/guestlogin.aspx,5.3
Dorian and Encore Apartments: West Plano Luxury Apartments,Plano,https://www.dorianandencoreluxuryliving.com/,200,unknown,,,8.6
The Emory: New Apartments in Plano,Plano,https://www.theemoryplano.com/,200,Entrata,portal,https://theemoryplano.residentportal.com/,5.0
"Park on 14th | Apartments in Plano, TX",Plano,https://www.park14plano.com/,200,Yardi,portal,https://park14plano.securecafenet.com/residentservices/park-on-14th/userlogin,3.7
"The Annabel at Assembly Park Apartments in Plano, TX",Plano,https://theannabelatassemblypark.com/,200,unknown,,,4.9
"The Bridge at Heritage Creekside – Upscale Living | Plano, TX",Plano,https://www.thebridgeplano.com/,200,RealPage,portal,https://7613495.onlineleasing.realpage.com/,6.8
Plano apartments for rent | The Westside,Plano,https://liveatthewestside.com/,200,unknown,,,7.1
"Apartments in Plano, TX | Cortland North Plano",Plano,https://cortland.com/apartments/cortland-north-plano/,200,unknown,,,13.8
Richardson Neighborhood - MAA,Mixed,https://www.maac.com/texas/dallas/richardson/,200,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,15.6
"The Buckley: Discover Apartments in Plano, TX",Mixed,https://thebuckleyplano.com/,200,unknown,,,6.4
Cross Creek Apartments,Mixed,https://thecrosscreek.com/,200,unknown,,,4.9
Camden Buckingham - Richardson,Mixed,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham,200,unknown,,,4.2
"Richardson, TX Apartments for Rent",Mixed,https://www.camdenliving.com/apartments/richardson-tx,200,unknown,,,4.3
"1 & 2 Bedroom Apartments in Richardson, TX - Camden ...",Mixed,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham/available-apartments,200,unknown,,,3.2
Contact Us - Bluerock Real Estate,Mixed,https://bluerock.com/contact-us/,200,unknown,,,6.2
Morada Plano Apartments,New,https://www.moradaplano.com/,200,Yardi,portal,https://moradaplano.securecafenet.com/residentservices/morada-plano1/userlogin,6.6
"Bel Air Downtown | Apartments in Plano, TX",New,https://www.belairdowntown.com/,200,Yardi,portal,https://belairdowntown.securecafenet.com/residentservices/bel-air-downtown/userlogin?dropdownlangid=999,4.2
"Apartments for Rent in Plano, TX | @15TH – Home",New,https://www.at15th.com/,200,RealPage,portal,https://8500227wilshire.ws.realpage.com/onlineleasing.aspx?searchurl=https://8500227wilshire.ws.realpage.com/floor-plans.aspx,8.4
West Plano Apartments,New,https://cortland.com/apartments/cortland-west-plano/,200,unknown,,,8.3
West Plano Apartments | Cortland Arbor Hills,New,https://cortland.com/apartments/cortland-arbor-hills/,200,unknown,,,6.8
Cortland North Plano | Plano TX,New,https://www.facebook.com/cortlandnorthplano/,200,unknown,,,12.1
"1, 2, 3, & 4 Bedroom Apartments | Cortland North Plano",New,https://cortland.com/apartments/cortland-north-plano/floorplans/,200,unknown,,,8.6
Plano Apartments for Rent,New,https://www.udr.com/dallas-apartments/plano/,200,unknown,,,7.0
Dallas Apartments for Rent,New,https://www.udr.com/dallas-apartments/,200,unknown,,,4.0
Legacy Village Apartment Homes | Plano TX,New,https://www.udr.com/dallas- apar,200,unknown,,,3.0
"The Flats at Palisades Apartments in Richardson, Texas",New,https://www.udr.com/dallas-apartments/richardson/the-flats-at-palisades/,200,unknown,,,6.0
