name,city,url,vendor,evidence_url,tool,notes
"Apartments in Richardson, TX | Falls on Clearwood | Home",Richardson,https://www.fallsonclearwoodapts.com/,blocked,,httpx,All requests blocked (403 Forbidden)
"Marquis at Waterview: Apartments In Richardson, TX",Richardson,https://www.marquiswaterview.com/,Entrata,keyword:entrata,httpx,"50 links, 6 portal links"
"Luxury Apartments in Richardson, TX | Belt & Main",Richardson,https://beltandmain.com/,blocked,,httpx,All requests blocked (403 Forbidden)
Welcome Home to Estates of Richardson,Richardson,https://www.rentanapt.com/apartments/tx/richardson/estates-of-richardson/,RealPage,https://property.onesite.realpage.com/welcomehome?siteId=3835684#url=%23login,httpx,"46 links, 38 portal links"
"GreenVue | Apartments in Richardson, TX",Richardson,https://www.liveatgreenvue.com/,blocked,,httpx,All requests blocked (403 Forbidden)
The James at Canyon Creek: Luxury Apartments in Richardson,Richardson,https://www.thejamesatcanyoncreek.com/,blocked,,httpx,All requests blocked (403 Forbidden)
"MAA Eastside Luxury Apartments in Richardson, TX",Richardson,https://www.maac.com/texas/dallas/maa-eastside/,Yardi,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,httpx,"46 links, 5 portal links"
"Anthem Cityline: Richardson, TX Luxury Apartments in ...",Richardson,https://www.anthemcityline.com/,unknown,,httpx,"33 links, 2 portal links"
"Axis 110 Modern Luxury Apartments in Richardson, TX",Richardson,https://axis110.com/,unknown,,httpx,"54 links, 1 portal links"
"Modern Luxury Apartments in Richardson, TX | The Register",Richardson,https://www.theregisterapts.com/,blocked,,httpx,All requests blocked (403 Forbidden)
The Pradera: Apartments in Richardson TX,Richardson,https://thepradera.com/,Yardi,https://thepradera.securecafe.com/onlineleasing/the-pradera-0/guestlogin.aspx,httpx,"67 links, 5 portal links"
"furnished apartments in Richardson, TX",Richardson,https://www.parksrichardson.com/,blocked,,httpx,All requests blocked (403 Forbidden)
Reserve at Spring Creek Apartments | Apartments in ...,Richardson,https://www.liveatreserve.com/,blocked,,httpx,All requests blocked (403 Forbidden)
The Bodie | New Luxury Apartments in Richardson TX,Richardson,https://www.livebodie.com/,RealPage,https://livebodie.loftliving.com/,httpx,"71 links, 5 portal links"
"Hunters Glen: Explore Apartments in Plano, TX",Plano,https://thehuntersglen.com/,RealPage,keyword:onlineleasing,httpx,"68 links, 5 portal links"
"Apartments and Townhomes in Plano, TX | Windsor West ...",Plano,https://www.windsorcommunities.com/properties/windsor-west-plano/,Yardi,https://windsorwestplano.securecafe.com/residentservices/windsor-west-plano/userlogin.aspx,httpx,"102 links, 10 portal links"
"Legends at Chase Oaks | Apartments in Plano, TX",Plano,https://www.legendsatchaseoaks.com/,blocked,,httpx,All requests blocked (403 Forbidden)
"Horizon at Premier | Apartments in Plano, TX",Plano,https://www.horizonatpremier.com/,Yardi,https://tours-horizonatpremier.securecafe.com/residentservices/avilla-premier0/userlogin.aspx,httpx,"45 links, 4 portal links"
"Apartments for Rent Plano, TX",Plano,https://www.willowbridgepc.com/texas/dallas-fort-worth/plano,unknown,,httpx,"181 links, 17 portal links"
Legacy North: Stunning Plano Apartments for Rent,Plano,https://www.legacynorthapts.com/,Entrata,https://legacynorthapts.residentportal.com/auth,httpx,"51 links, 3 portal links"
Legacy Village Apartment Homes Apartments in Plano ...,Plano,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/,RealPage,keyword:onlineleasing,httpx,"84 links, 7 portal links"
"The Residences at Promontory: Plano, TX Apartments",Plano,https://www.theresidencesatpromontory.com/,Yardi,https://theresidencesatpromontory.securecafe.com/residentservices/the-residences-at-promontory/userlogin.aspx,httpx,"42 links, 4 portal links"
"Villas at Legacy: Plano, TX Apartments",Plano,https://villasatlegacy-plano.com/,unknown,,httpx,"57 links, 2 portal links"
LVL29 at Legacy West Apartments: Luxury Apartments in Plano,Plano,https://www.lvl29life.com/,RealPage,https://lvl29.activebuilding.com/login,httpx,"59 links, 5 portal links"
Ferro | New Luxury Apartments In Downtown Plano TX,Plano,https://www.liveferro.com/,Yardi,https://liveferro.securecafe.com/onlineleasing/ferro/guestlogin.aspx,httpx,"27 links, 2 portal links"
Dorian and Encore Apartments: West Plano Luxury Apartments,Plano,https://www.dorianandencoreluxuryliving.com/,unknown,,httpx,"51 links, 5 portal links"
The Emory: New Apartments in Plano,Plano,https://www.theemoryplano.com/,blocked,,httpx,All requests blocked (403 Forbidden)
