situscity,dbaname,situsconcatshort,imprvunits,imprvyearbuilt,ownername,parcels,software,proof
PLANO,NORTHSIDE AT LEGACY I APARTMENTS,7560 BISHOP RD,793,2007,5765 BOZEMAN (TX) OWNER LP,4,,
PLANO,MAA MARKET CENTER I,3825 MAPLESHADE LN,772,2012,MAALP MARKET CENTER LLC,2,,
PLANO,CORTLAND WEST PLANO APARTMENTS,8100 MEMORIAL LN,769,2007,TX APT 8205 TOWNE MAIN DRIVE LP,3,,
PLANO,THE GIO APARTMENTS,5000 K AVE,730,1997,SREIT GIO APARTMENTS LLC,2,,
PLANO,LEGACY VILLAGE PHASE III,7008 BISHOP RD,720,2005,UDR LEGACY VILLAGE LLC,6,unknown,
PLANO,GRAND AT LEGACY WEST APARTMENTS,6080 WATER ST,621,2015,LW OWNER 1 LLC,2,,
PLANO,CORTLAND NORTH PLANO APARTMENTS,9601 CUSTER RD,548,1998,CUSTER TX PARTNERS LLC,1,unknown,
PLANO,THE BEACON,4060 BEACON SQUARE BLVD,539,2022,BEACON SQUARE ASSOCIATION INC,3,,
PLANO,ESTANCIA AT RIDGEVIEW RANCH APARTMENTS,10200 INDEPENDENCE PKWY,500,2006,ESTANCIA APARTMENT PARTNERS,1,,
PLANO,MAA LOS RIOS,4701 14TH ST,498,1999,MID-AMERICA APARTMENTS LP,1,,
PLANO,CREEKSIDE VILLAGE APTS,3400 PARK BLVD,480,1983,NSCC CREEKSIDE 12B LLC,1,,
PLANO,23HUNDRED @ RIDGEVIEW,2300 KATHRYN LN,480,1998,CH REALTY X MF PLANO 23 HUNDRED LP,1,,
PLANO,WINDHAVEN PARK  APARTMENTS,6201 WINDHAVEN PKWY,474,1990,AG-HILLTOP WINDHAVEN PROPERTY OWNER LP,1,,
PLANO,SAXONY AT CHASE OAKS APARTMENTS,300 LEGACY DR,470,1994,SAXONY AT CHASE OAKS PARTNERSHIP,1,,
PLANO,LA COSTA APARTMENTS,6100 OHIO DR,462,1991,WESTDALE LA COSTA TX LP,2,,
PLANO,EVOKE,1025 PRESTON RD,459,2016,BEAUMEADE EVOKE LLC &,1,,
PLANO,MISSION GATE APARTMENTS,8025 OHIO DR,434,1998,WRPV XIV MG PLANO LP &,1,,
PLANO,WESTSIDE APARTMENTS,1515 RIO GRANDE DR,412,1984,RRE BRENTDALE HOLDINGS LLC,1,Entrata,https://thewestsidepac.residentportal.com/
PLANO,VILLAS OF PRESTON CREEK APARTMENTS,6900 PRESTON RD,408,1992,FRANKEL FAMILY TRUST THE,2,,
PLANO,RIACHI AT ONE 21 APARTMENTS,9600 COIT RD,402,2007,MFREVF V - PLANO LP,1,,
PLANO,WINDSOR METRO WEST APARTMENTS,8055 WINDROSE AVE,401,2017,IMP METRO WEST LLC,1,,
PLANO,DORIAN,8401 MEMORIAL LN,398,2007,KV TRIBECA APARTMENTS LLC,1,RealPage,https://dorianandencore.loftliving.com/login
PLANO,VILLAS OF SPRING CREEK I APARTMENTS,6301 STONEWOOD DR,396,1999,SPRING CREEK VILLAS LP,2,,
PLANO,CENTRIC ONE90,680 EXECUTIVE DR,386,2014,TRG BUSH TURNPIKE LP,1,,
PLANO,CREEKSIDE AT LEGACY APARTMENTS,6300 WINDCREST DR,380,1996,KEY CREEKSIDE LLC,1,,
PLANO,FERRO,1005 11TH ST,379,2021,TB PLANO 1 LLC,1,Yardi,https://liveferro.securecafe.com/onlineleasing/ferro/guestlogin.aspx
PLANO,THORNBURY AT CHASE OAKS APARTMENTS,7101 CHASE OAKS BLVD,376,1994,PLANO PUBLIC FACILITY CORPORATION,1,,
PLANO,1201 PARK APARTMENTS,1201 E PARK BLVD,368,1996,1201 PARK PLANO ASSOCIATES LLC,1,,
PLANO,BENTLEY PLACE AT WILLOW BEND APARTMENTS,5945 W PARKER RD,368,1995,DALLAS BENTLEY I LP &,1,,
PLANO,CARRINGTON PARK APARTMENTS,3001 COMMUNICATIONS PKWY,364,1994,TREA CARRINGTON PARK LLC,1,,
PLANO,WINDSOR WEST PLANO,2100 LEGACY DR,363,2022,COLUMBIA LEGACY SQUARE LP,1,Yardi,https://windsorwestplano.securecafe.com/residentservices/windsor-west-plano/userlogin.aspx
PLANO,WATERFORD ON THE MEADOW APARTMENTS,1414 SHILOH RD,350,1984,H20 WATERFORD 12C LLC,1,,
PLANO,ONE 90 GATEWAY,3201 WYNWOOD DR,347,2021,PLANO HOUSING AUTHORITY,1,,
PLANO,LEGENDS AT CHASE OAKS APARTMENTS,701 LEGACY DR,346,1996,701 LEGACY DRIVE SPE LLC &,1,Yardi,https://sitemanager.rentcafe.com/residentservices/legends-at-chase-oaks-2/userlogin.aspx
PLANO,BROOKS ON PRESTON APARTMENTS,7200 PRESTON RD,342,1995,JANRIC ENTERPRISES LTD,1,,
PLANO,THE BUCKLEY,600 KISSIMMEE DR,338,2024,HERITAGE CREEKSIDE BLOCK A1 OWNER LLC,1,RealPage,https://thebuckleytx.loftliving.com/login
PLANO,COLONNADE AT WILLOW BEND APARTMENTS,1100 MEREDITH LN,338,1993,1100 MEREDITH LANE INC,2,,
PLANO,LVL 29 APARTMENTS,6000 COLUMBUS AVE,328,2017,NE WEST LEGACY LP,1,,
PLANO,VILLAS AT LEGACY APARTMENTS,5301 W SPRING CREEK PKWY,328,1999,JLLX VILLAS AT LEGACY DST,1,RealPage,https://villasatlegacyapts.activebuilding.com/login
PLANO,AVALON AT CHASE OAKS APARTMENTS,801 LEGACY DR,326,1991,PLANO PUBLIC FACILITY CORPORATION,1,,
PLANO,THE LUDLOW,601 BELPREE DR,326,2022,HERITAGE CREEKSIDE BLOCK B OWNER LLC,1,,
PLANO,AURA NORTHLINE,541 J PL,325,2024,TRG NORTHLINE LP,2,,
PLANO,MCDERMOTT PLACE APARTMENTS,8900 INDEPENDENCE PKWY,324,2000,HEITMAN CREDIT ACQUISITION XL LP,1,,
PLANO,LA VENTURA APARTMENTS,2600 VENTURA DR,324,1998,LA VENTURA PLANO LLC,1,,
PLANO,COTTONWOOD RIDGEVIEW,9100 INDEPENDENCE PKWY,322,2004,COTTONWOOD COURTNEY MANOR H LLC &,1,,
PLANO,GATEWAY CROSSING APTS,380 VISTACOURT DR,322,2014,BELL VALUE-ADD FUND VIII GATEWAY LP,1,,
PLANO,HUNTINGTON APARTMENTS,4925 RASOR BLVD,320,2016,FAIRFIELD HUNTINGTON LP,1,,
PLANO,PARK RESIDENCES PLANO,1109 PARK VISTA RD,318,2019,PARK RESIDENCES PLANO WEST LLC,2,,
PLANO,COLLIN CREEK APARTMENTS,2301 PEBBLE VALE DR,314,1988,PLANO PUBLIC FACILITY CORPORATION,1,,
PLANO,PARKSIDE AT LEGACY V APTS,5745 BOZEMAN DR,310,2011,5765 BOZEMAN (TX) OWNER LP,1,,
PLANO,LAKESHORE AT PRESTON APARTMENTS,3700 PRESTON RD,302,1991,SIMFA LAKESHORE FEE SIMPLE LLC,1,,
PLANO,AXIS 3700,3700 MAPLESHADE LN,300,2014,APARTMENTS AXIS SPE LLC &,1,,
PLANO,WATERS EDGE APARTMENTS,5000 WHITESTONE LN,300,1997,SAGAR EDGE MASTER LLC,1,,
PLANO,SHERIDAN PARK AT SPRING CREEK APARTMENTS,2001 E SPRING CREEK PKWY,300,1997,SPRING CREEK FEE OWNER LLC,1,,
PLANO,KINCAID AT LEGACY APARTMENTS,7200 DALLAS PKWY,300,2017,KINCAID AT LEGACY TEXAS LLC,1,,
PLANO,SUMMERS CROSSING APARTMENTS,1500 PRESTON RD,294,1985,PLANO PUBLIC FACILITY CORPORATION,1,,
PLANO,LEGACY NORTH,5765 BOZEMAN DR,293,2009,5765 BOZEMAN (TX) OWNER LP,1,Entrata,https://legacynorthapts.residentportal.com/auth
PLANO,CROSS CREEK APARTMENTS,7401 ALMA DR,290,1983,ANNE MAYA - PLANO LLC &,1,Yotta,https://adaraportal.yottareal.com/dba/dba-amenities?dbaid=42&dbaid=42
PLANO,RANCH AT RIDGEVIEW APARTMENTS,2901 RIDGEVIEW DR,288,1998,RAR PLANO LLC,1,,
PLANO,WINDSOR PRESTON,7950 PRESTON RD,288,2018,ALTA 289 LLC,1,,
PLANO,FOX TRAILS APARTMENTS,6300 ROUNDROCK TRL,286,1981,FOX PARTNERS LLC,1,,
PLANO,JUNCTION 15 APARTMENTS,930 E 15TH ST,279,2013,TR JUNCTION 15 LLC,1,,
PLANO,BELLEVUE AT SPRING CREEK APARTMENTS,2401 W SPRING CREEK PKWY,278,1982,SPRING CREEK 278 LLC,1,,
PLANO,CAMDEN LEGACY PARK APARTMENTS,6600 PRESTON RD,276,1995,2009 COLP COMMUNITY OWNER LLC,1,,
PLANO,HUNTERS GLEN APARTMENTS,6400 INDEPENDENCE PKWY,276,1980,6400 INDEPENDENCE PLANO LLC,1,Yardi,https://thehuntersglen.securecafe.com/residentservices/hunters-glen2/userlogin.aspx
PLANO,PRESTONWOOD HILLS APARTMENTS,6601 W PLANO PKWY,272,1996,RJW PRESTONWOOD HILLS LP,1,,
PLANO,WINDSOR AT LEGACY,6400 WINDCREST DR,270,1998,MAINSTAY LEGACY PLANO LP,1,,
PLANO,THE EMORY,1345 14TH ST,270,2023,GRAYCO PLANO INVESTMENT 2022 LP,1,Entrata,https://theemoryplano.residentportal.com/
PLANO,MARQUIS AT LEGACY APARTMENTS,6820 PRESTON RD,268,1990,CWS BELL LP & CWS WWL LEGACY LP,1,,
PLANO,COTTAGES AT TULANE APARTMENTS,2600 PRESTON RD,268,1990,BRISTLECONE TEXAS LTD,1,,
PLANO,EVANA GROVE,3500 HILLRIDGE DR,266,1970,LURIN REAL ESTATE HOLDINGS LXIII LLC,1,,
PLANO,ELLINGTON,4701 PRESTON PARK BLVD,266,1995,S2 PRESTON PARK LP,1,,
PLANO,AMLI WEST PLANO,5961 W PARKWOOD BLVD,264,2014,PPF AMLI WEST PLANO VILLAGE LP,1,,
PLANO,PARKER APARTMENTS,4701 CHARLES PL,264,1997,PLANO GFPG LLC,1,,
PLANO,RESIDENCES AT PROMONTORY,4700 W SPRING CREEK PKWY,264,2023,PROMONTORY RESIDENTIAL LP,1,Yardi,https://theresidencesatpromontory.securecafe.com/onlineleasing/the-residences-at-promontory/register.aspx
PLANO,FAIRWAY APARTMENTS,1705 COIT RD,256,1979,FAIRWAY GARDENS LP,1,,
PLANO,PARK AT GATEWAY APARTMENTS,355 VISTAGLEN DR,255,2016,BELL VALUE-ADD FUND VIII GATEWAY LP,1,,
PLANO,LAKESIDE AT LEGACY VILLAGE APARTMENTS I & II,7001 PARKWOOD BLVD,255,2003,UDR LEGACY VILLAGE LLC,1,,
PLANO,BELL GATEWAY VILLAGE,350 VISTA COURT DR,254,2012,BELL VALUE-ADD FUND VIII GATEWAY LP,1,,
PLANO,BEL AIR DOWNTOWN,1404 VONTRESS ST,253,2001,BEL AIR MULTI 50 LLC &,2,Yardi,https://belairdowntown.securecafenet.com/residentservices/bel-air-downtown/userlogin?dropdownlangid=999
PLANO,EVERGREEN AT PLANO APTS SENIOR CHODO,600 INDEPENDENCE PKWY,250,2004,PWA-PLANO INDEPENDENCE SENIOR COMMUNITY LP,1,,
PLANO,KIA ORA PARK APARTMENTS,9300 COIT RD,250,2006,EQR-KIA ORA PARK LP,1,,
PLANO,VILLAS AT CHASE OAKS APARTMENTS,600 LEGACY DR,250,1986,WWC CHASE OAKS LP,1,,
PLANO,LEGACY APARTMENTS,6909 CUSTER RD,244,1984,CORNERSTONE LEGACY LP,1,,
PLANO,OLD SHEPARD PLACE APARTMENTS,1520 PRESTON RD,244,1990,PROPERTY RESERVE INC,1,,
PLANO,ENCORE APARTMENTS,4700 TRIBECA LN,240,2011,KV ENCORE APARTMENTS LLC,1,RealPage,https://dorianandencore.loftliving.com/login
PLANO,GARDEN GATE APARTMENTS CHODO,1201 LEGACY DR,240,1994,GARDEN GATE PL ACQUISITION LP,1,,
PLANO,CAMDEN LEGACY CREEK APARTMENTS,6400 OHIO DR,240,1994,CAMDEN OPERATING LP,1,,
PLANO,POINT AT DEERFIELD APARTMENTS,4640 HEDGCOXE RD,240,1998,PASKIN PROPERTIES - 4640 HEDGECOXE LLC &,1,,
PLANO,PLAZA AT CHASE OAKS SENIOR CHODO,7100 CHASE OAKS BLVD,240,2005,UNIFIED HOUSING OF CHASE OAKS LLC,1,,
PLANO,TOWNS OF CHAPEL HILL APARTMENTS,6201 CHAPEL HILL BLVD,232,1997,TOWNS OF CHAPEL HILL APTS LP,1,,
PLANO,CUSTER PARK APARTMENTS,3400 CUSTER RD,232,1978,PRICEBLU CUSTER LLC,1,,
PLANO,WOODLANDS OF PLANO APARTMENTS TC,1300 RIGSBEE DR,232,1968,CLOVER WOODLANDS PLANO OWNER LLC,1,,
PLANO,HATHAWAY AT WILLOW BEND,2525 PRESTON RD,229,1984,WINSTON GT HOLDINGS LP &,1,,
PLANO,THE OAKS AT PLANO,5000 OLD SHEPARD PL,224,1991,PRESTON OLD SHEPARD TITLEHOLDER LLC,1,,
PLANO,CONSERVATORY AT PLANO SENIOR APARTMENTS,6401 OHIO DR,222,2006,CONSERVATORY SENIOR HOUSING AT CHAMPION FOREST LP & ETAL,1,,
