Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
7961 E Elliot Rd,7961 E Elliot Rd,Mesa,Arizona,419,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
10941 E Southern Ave,10941 E Southern Ave,Mesa,Arizona,353,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
2950 N Recker Rd,2950 N Recker Rd,Mesa,Arizona,339,sold,,2026-05-01,Longbow Apartments Spe Llc/Lbnb Apartments Sp,Dhic-Longbow LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
157 S Roosevelt Rd,157 S Roosevelt Rd,Mesa,Arizona,336,sold,,2025-07-01,Ipg Coral Point Owner LLC,Lwh Coral Point Apartments LP,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
5135 S Power Rd,5135 S Power Rd,Mesa,Arizona,305,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
1345 S Signal Butte Rd,1345 S Signal Butte Rd,Mesa,Arizona,276,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
2354 W University Dr,2354 W University Dr,Mesa,Arizona,266,sold,,2026-06-01,Cr Avia 266 Communities LLC,Gc Avia LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
Unnamed project,,Mesa,Arizona,260,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
4638 E Banner Gateway Dr,4638 E Banner Gateway Dr,Mesa,Arizona,260,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
2601 E Mckellips Rd,2601 E Mckellips Rd,Mesa,Arizona,256,sold,,2025-05-01,Red Mountain Realty Company LLC,Red Mountain Mesa LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
8336 E Quality Ave,8336 E Quality Ave,Mesa,Arizona,236,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
2261 E Mcdowell Rd,2261 E Mcdowell Rd,Mesa,Arizona,222,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
151 E 1St St,151 E 1st St,Mesa,Arizona,210,sold,,2025-07-01,Cimarron Investment Partners I Llc/Cimarron I,Cimarron Two Llc/Cimarron One Llc/Emp Investm,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
