Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
15333 N Hayden Rd,15333 N Hayden Rd,Scottsdale,Arizona,282,sold,,2025-05-01,Santana Smllc Llc/Edgewood Smllc Llc/Vfh Smll,North Scottsdale Acquisition LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
15608 N 71St St,15608 N 71st St,Scottsdale,Arizona,276,sold,,2025-08-01,Fairfield Nines LLC,Sunroad Kierland Apartments LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
15826 N Scottsdale Rd,15826 N Scottsdale Rd,Scottsdale,Arizona,266,sold,,2025-10-01,Scp II 15826 Scottsdale Rd LLC,Kierland Sdl LP,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
7111 E Tierra Buena Ln,7111 E Tierra Buena Ln,Scottsdale,Arizona,202,sold,,2025-04-01,7111 E Tierra Soltra LLC,Lcg2Mf Kierland LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
8555 E Raintree Dr,8555 E Raintree Dr,Scottsdale,Arizona,192,sold,,2025-05-01,Huxley Scottsdale Apartments LLC,Pr Iii/Crow Raintree Residential LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
3015 N Hayden Rd,3015 N Hayden Rd,Scottsdale,Arizona,182,sold,,2026-04-01,Hayden Property Owner Llc/Hayden Property Own,Hayden Park Apartments LLC,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
6901 E Main St,6901 E Main St,Scottsdale,Arizona,121,sold,,2025-10-01,Scottsdale Owner Llc/Gre Vibe LLC,Main Street Scottsdale Lllp,,Maricopa County Assessor sales records,https://www.arcgis.com/home/item.html?id=f3484c72a938497286adc4e5de7e9963
Apartments,3380 N Scottsdale Rd,Scottsdale,Arizona,,permitted,,,,Empire Group,,City of Scottsdale building permits,https://eservices.scottsdaleaz.gov/bldgresources/buildingpermit
Apartments,13870 N Frank Lloyd Wright Bl Unit 1070,Scottsdale,Arizona,,permitted,,,,Jeff Hoffman,,City of Scottsdale building permits,https://eservices.scottsdaleaz.gov/bldgresources/buildingpermit
Apartments,10200 E Dynamite Bl Bldg 7,Scottsdale,Arizona,,permitted,,,,"Mike Anderson with MBA Development Partners, LLC",,City of Scottsdale building permits,https://eservices.scottsdaleaz.gov/bldgresources/buildingpermit
Apartments,7550 E Legacy Bl Bldg 6,Scottsdale,Arizona,,permitted,,,,RA2 - Garden Apartments at Legacy LLC,,City of Scottsdale building permits,https://eservices.scottsdaleaz.gov/bldgresources/buildingpermit
Apartments,4605 N Scottsdale Rd Bldg A,Scottsdale,Arizona,,permitted,,,,"ZT Scottsdale Owner, LLC",,City of Scottsdale building permits,https://eservices.scottsdaleaz.gov/bldgresources/buildingpermit
Apartments,7370 E Henkel Wy,Scottsdale,Arizona,,permitted,,,,"Maa Scottsdale Exchange, LLC.",,City of Scottsdale building permits,https://eservices.scottsdaleaz.gov/bldgresources/buildingpermit
