Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
Legacy Arapaho,"250 E Arapaho Road, Richardson, TX 75081",Richardson,Texas,443,permitted,2028-11-01,,,,,Legacy Partners (developer; opens ~Nov 2028 so no leasing office yet),https://communityimpact.com/richardson/government/443-unit-apartment-complex-approved-by-richardson-city-council/ (2026-09-26),News,https://communityimpact.com/richardson/government/443-unit-apartment-complex-approved-by-richardson-city-council/
Mockingbird Station East Phase 2 Multifamily,5399 Twin Sixties Dr,Dallas,Texas,395,under construction,2027-07-23,,,Trammell Crow Company,(806) 224-3380,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017840
Venterra Spring Cypress Apartments,16614 Spring Cypress Apartments,Cypress,Texas,384,under construction,2027-11-30,,,"Vr Development GP, LLC",(281) 558-8787,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025553
Park Row Apartments,14192 Park Row Dr.,Houston,Texas,360,under construction,2028-02-15,,,"OHT Park Row, LP",(512) 220-7816,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003096
Terrell Apartments,1010 Rose Hill Rd,Terrell,Texas,350,under construction,2028-05-01,,,"Terrell Leased Housing Associates I, LP",(214) 971-8747,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009904
Belmont Apartments,4401 E Slaughter Lane,Austin,Texas,348,under construction,2027-04-30,,,Belmont Apartments Ltd.,(913) 439-8117,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001200
Cameron-Yager Multifamily,4915 E. Yager Lane,Manor,Texas,336,under construction,2028-01-16,,,Cameron Road Apartments Ltd.,(216) 584-0613,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024076
Lakeside Lofts,5726 US Highway 87 E.,San Antonio,Texas,336,under construction,2027-12-15,,,Lakeside Lofts Ltd.,(512) 202-9011,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006319
Sonrisa Village Apartments,5000 Bowie Road,Brownsville,Texas,324,permitted,2028-07-17,,,Luis Torres,(956) 579-3471,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2027000986
Dessau Apartments,10701 Dessau Rd,Austin,Texas,300,under construction,2027-11-01,,,"OHT Dessau, LP",(512) 438-9715,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011047
NRP Village Apartments,2800 Roselawn Drive,Denton,Texas,297,under construction,2027-09-30,,,Rayzor Inv LTD,(210) 507-0743,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021863
Brickstone Flats,9003 Somerset Road,San Antonio,Texas,290,under construction,2028-06-30,,,Brickstone Flats LP,(317) 846-3111,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012493
Polk St Multifamily,110 E. Polk Street,Richardson,Texas,281,under construction,2027-10-01,,,DRA Owner LLC,(214) 863-4277,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026678
