Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
Parks At Treepoint Apts,"6601 Treepoint Dr, Arlington",Arlington,Texas,586,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Ventura Apts,"2601 Furrs St, Arlington",Arlington,Texas,476,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Amp At The Grid,"765 Polk Dr, Arlington",Arlington,Texas,446,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
The Grove At La Frontera,"8150 S Collins St, Arlington",Arlington,Texas,396,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Ptct Ennova Highlands Apts,"451 Highlander Blvd, Arlington",Arlington,Texas,348,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
One Rangers Way,"1200 Nolan Ryan Expwy, Arlington",Arlington,Texas,299,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Felix Apts,"2101 E Pioneer Pkwy, Arlington",Arlington,Texas,272,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Rise North Arlington Home Apts,"500 Tish Cir, Arlington",Arlington,Texas,270,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
The Woodlands Of Arlington,"2800 Lynnwood Dr, Arlington",Arlington,Texas,265,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Garden Park Apts,"2208 E Park Row Dr, Arlington",Arlington,Texas,251,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Parkland Pointe Rental Twnhms,"931 W Sublett Rd, Arlington",Arlington,Texas,250,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Rush Creek Apartments,"1200 W Sublett Rd, Arlington",Arlington,Texas,248,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Mercer Park Apts,"2014 Remington Dr, Arlington",Arlington,Texas,247,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
District 2308,"2312 Fair Oaks Dr, Arlington",Arlington,Texas,240,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Mayfield Park Apts,"2100 E Mayfield Rd, Arlington",Arlington,Texas,240,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Chatham Green Apts,"3532 Matlock Rd, Arlington",Arlington,Texas,234,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Running Brook Apts,"1519 Running Brook Dr, Arlington",Arlington,Texas,232,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Northridge Ii,"2107 Lincoln Dr, Arlington",Arlington,Texas,224,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Reserve At Mayfield,"1950 Mayfield Rd, Arlington",Arlington,Texas,220,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
"Trails Apts, The","4912 Paces Tr, Arlington",Arlington,Texas,208,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
600 East Apts,"600 E Arkansas Ln, Arlington",Arlington,Texas,204,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Arlington Oaks Apts,"1111 Honeysuckle Way, Arlington",Arlington,Texas,202,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Element,"1516 Arbor Town Cir, Arlington",Arlington,Texas,200,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Spanish Oaks Apts,"3025 E Park Row Dr, Arlington",Arlington,Texas,200,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Oakley Apartments,"501 Green Oaks Ct, Arlington",Arlington,Texas,196,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Matlock Flats Apts,"710 Eden Rd, Arlington",Arlington,Texas,192,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Arlington Hills,"3200 S Center St, Arlington",Arlington,Texas,171,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Riverbend,"701 E Arkansas Ln, Arlington",Arlington,Texas,138,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Cedar Ridge Townhomes,"2043 Knoll Crest Dr, Arlington",Arlington,Texas,124,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Serena Vista Apartments,"1519 San Francisco Ct, Arlington",Arlington,Texas,120,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Willows Ii Apts,"2024 Park Springs Blvd, Arlington",Arlington,Texas,110,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Mission On Ascension,"1830 Green Oaks Blvd, Arlington",Arlington,Texas,108,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Balfour Flats Multifamily,700 E South Street,Arlington,Texas,99,under construction,2027-09-15,,,Balfour Flats Venture LP,(903) 278-7923,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022106
Sherry Pointe Apartments,NEQ of E Arkansas Ln and Sherry St,Arlington,Texas,96,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
L'Abri Apartments,"200 W Pioneer Pkwy, Arlington",Arlington,Texas,90,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
The Watson (fka Watson Apartments),1401 S Watson Rd,Arlington,Texas,82,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Campbell Place,"6608, 6700, 6704 and 6710 U.S. 287 Frontage Road",Arlington,Texas,78,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Legacy Living At Arlington,"1501 NE Green Oaks Blvd, Arlington",Arlington,Texas,60,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Lydle Ridge Apts,"2301 Little Rd, Arlington",Arlington,Texas,59,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Apartments at 509 Debbie Lane Garage 9,509 Debbie Lane Garage 9,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 756 W Turner Warnell Road Bldg 3,756 W Turner Warnell Road Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 754 W Turner Warnell Road Bldg 4,754 W Turner Warnell Road Bldg 4,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 758 W Turner Warnell Road Bldg 2,758 W Turner Warnell Road Bldg 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 752 W Turner Warnell Road Bldg 5,752 W Turner Warnell Road Bldg 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 505 Mary Street,505 Mary Street,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 714 Benge Drive Bldg 1,714 Benge Drive Bldg 1,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 710 Benge Drive Bldg 2,710 Benge Drive Bldg 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 712 Benge Drive Bldg 3,712 Benge Drive Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 509 Debbie Lane Unit 100,509 DEBBIE LANE Unit 100,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3703 Dr. Mlk Jr. Drive Bldg 7,3703 Dr. MLK JR. Drive Bldg 7,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3705 Dr. Mlk Jr. Drive Bldg 6,3705 Dr. MLK JR. Drive Bldg 6,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3707 Dr. Mlk Jr. Drive Bldg 5,3707 Dr. MLK JR. Drive Bldg 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3711 Dr. Mlk Jr. Drive Bldg 3,3711 Dr. MLK JR. Drive Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1821 Mansfield Webb Rd,1821 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1819 Mansfield Webb Rd,1819 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1817 Mansfield Webb Rd,1817 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1815 Mansfield Webb Rd,1815 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1811 Mansfield Webb Rd,1811 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1809 Mansfield Webb Rd,1809 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1835 Mansfield Webb Rd,1835 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1833 Mansfield Webb Rd,1833 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1797 Mansfield Webb Rd,1797 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1827 Mansfield Webb Rd,1827 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1825 Mansfield Webb Rd,1825 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
