Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
The Reid,"2617 Hawco Dr, Grand Prairie",Grand Prairie,Texas,642,permitted,,,,,,State permit data,https://www.tad.org/content/data-download/2025CommPermits.zip
Jefferson Vine,1225 IH 20,Grand Prairie,Texas,380,sold,,2024-12-20,Pecos Housing Finance Corp,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Arden At Midtown GP,3711 S State Hwy 161,Grand Prairie,Texas,366,sold,,2025-01-08,Kcp Arden Midtown GP LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Red River Ranch Apts,"2625 N State Hwy 360, Grand Prairie",Grand Prairie,Texas,336,permitted,,,,,,State permit data,https://www.tad.org/content/data-download/2025CommPermits.zip
Three60 North Apts,"1450 N State Hwy 360, Grand Prairie",Grand Prairie,Texas,336,permitted,,,,,,State permit data,https://www.tad.org/content/data-download/2025CommPermits.zip
Alpine Village,"965 Duncan Perry Rd, Grand Prairie",Grand Prairie,Texas,314,permitted,,,,,,State permit data,https://www.tad.org/content/data-download/2026CommPermits.zip
(50% Complete) The Heights At Grand Prairie Casona,3900 Robinson Rd,Grand Prairie,Texas,305,under construction,,,,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
The Westlyn,1150 E IH 20,Grand Prairie,Texas,300,sold,,2024-09-25,Crp/Ar Prose Westcliff Owner LP,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Jefferson Peninsula,7165 Lake Ridge Pkwy,Grand Prairie,Texas,283,sold,,2026-03-12,7165 Lake Ridge LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Springs At Grand Prairie,2136 Sara Jane Pky,Grand Prairie,Texas,276,sold,,2025-02-25,Pleasanton Housing Finance,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
