Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
6550 Hillcroft St,6550 Hillcroft St,Houston,Texas,921,sold,,2025-02-13,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
1221 Redford St,1221 Redford St,Houston,Texas,856,sold,,2025-04-09,Edcouch Community Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
150 Dominion Park Dr,150 Dominion Park Dr,Houston,Texas,843,sold,,2024-12-19,Trails At Dominion Park Property,,,,,Harris County records (search by address),https://public.hcad.org/
6425 Westheimer Rd,6425 Westheimer Rd,Houston,Texas,798,sold,,2024-11-11,Ad Palms LLC,,,,,Harris County records (search by address),https://public.hcad.org/
695 Pineloch Dr,695 Pineloch Dr,Webster,Texas,712,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
4400 Memorial Dr,4400 Memorial Dr,Houston,Texas,688,sold,,2025-03-18,La Villa Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
3400 Woodchase Dr,3400 Woodchase Dr,Houston,Texas,656,sold,,2025-07-29,Ashford Santa Ana Property Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
10950 Briar Forest Dr,10950 Briar Forest Dr,Houston,Texas,592,sold,,2025-09-03,Public Welfare Investments Holdco LLC,,,,,Harris County records (search by address),https://public.hcad.org/
5454 Newcastle Dr,5454 Newcastle Dr,Houston,Texas,580,sold,,2025-04-08,Maverick County Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
3125 Crestdale Dr,3125 Crestdale Dr,Houston,Texas,546,sold,,2025-02-02,Edcouch Community Housing Finance,,,,,Harris County records (search by address),https://public.hcad.org/
9707 S Gessner Dr,9707 S Gessner Dr,Houston,Texas,544,sold,,2025-09-25,Ssb Assets LLC,,,,,Harris County records (search by address),https://public.hcad.org/
5909 Glenmont Dr,5909 Glenmont Dr,Houston,Texas,534,sold,,2025-05-13,Nazar Invest INC,,,,,Harris County records (search by address),https://public.hcad.org/
11800 Grant Rd,11800 Grant Rd,Cypress,Texas,530,sold,,2025-05-05,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
14531 Ella Blvd,14531 Ella Blvd,Houston,Texas,520,sold,,2025-03-25,Ad Pecan LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2611 Bens Branch Dr,2611 Bens Branch Dr,Humble,Texas,518,sold,,2025-06-24,Gep Xi Town Center LP,,,,,Harris County records (search by address),https://public.hcad.org/
4101 Shaver St,4101 Shaver St,Pasadena,Texas,518,sold,,2025-09-02,Tc Spe 5 LLC,,,,,Harris County records (search by address),https://public.hcad.org/
621 Richey St,621 Richey St,Pasadena,Texas,514,sold,,2025-09-18,Owemancos Pasadena Run LP,,,,,Harris County records (search by address),https://public.hcad.org/
1315 Nasa Rd 1,1315 Nasa Rd 1,Houston,Texas,490,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
6919 Main St,6919 Main St,Houston,Texas,483,sold,,2024-11-19,"Life Tower Owner LLC Monzer Hourani, Ceo",,,,,Harris County records (search by address),https://public.hcad.org/
4010 Linkwood Dr,4010 Linkwood Dr,Houston,Texas,476,sold,,2025-10-31,Mvd De Apartments LLC,,(832) 742-1945,,https://www.stratfordhouseapts.com/ (2026-09-26),Harris County records (search by address),https://public.hcad.org/
407 S Richey Rd,407 S Richey Rd,Pasadena,Texas,468,sold,,2025-09-18,Owemancos Pasadena Run LP,,,,,Harris County records (search by address),https://public.hcad.org/
12300 Fleming Dr,12300 Fleming Dr,Houston,Texas,460,sold,,2025-12-10,Home Land 89 LLC,,(713) 455-1776,,https://www.zumper.com/apartment-buildings/p98895/falls-of-birchbrook-northshore-houston-tx (2026-09-26),Harris County records (search by address),https://public.hcad.org/
7979 Westheimer Rd,7979 Westheimer Rd,Houston,Texas,459,sold,,2025-03-25,New Rama Krishna Properties Delaware LLC,,,,,Harris County records (search by address),https://public.hcad.org/
1110 El Camino Village Dr,1110 El Camino Village Dr,Houston,Texas,449,sold,,2025-05-19,Edcouch Community Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
905 Cypress Station Dr,905 Cypress Station Dr,Houston,Texas,448,sold,,2024-12-02,Pecos Housing Finanace Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
10225 Wortham Blvd,10225 Wortham Blvd,Houston,Texas,444,sold,,2025-07-30,Wortham TX Partner LP Cortland Partners LLC,,,,,Harris County records (search by address),https://public.hcad.org/
900 Henderson Ave,900 Henderson Ave,Webster,Texas,440,sold,,2025-03-29,Pecos Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
10221 Centrepark Dr,10221 Centrepark Dr,Houston,Texas,432,sold,,2025-11-19,Ag-Hilltop Spring Shadows Property,,(346) 771-8120,,https://thelodgeatspringshadows.com/contact/ (2026-09-26),Harris County records (search by address),https://public.hcad.org/
9475 W Sam Houston Pky S,9475 W Sam Houston Pky S,Houston,Texas,428,sold,,2025-11-04,Oconee Real Estate Holdings Xviii,,(346) 200-9871,,https://www.monarchwestapts.com/ (2026-09-26),Harris County records (search by address),https://public.hcad.org/
10202 Club Creek Dr,10202 Club Creek Dr,Houston,Texas,424,sold,,2025-06-26,Villa Madrid 2025 LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8181 Colony St,8181 Colony St,Houston,Texas,424,sold,,2025-11-13,Ua Riveraine LLC,,713-778-0800,,https://www.riveraine.com/contact_us/ (2026-09-26),Harris County records (search by address),https://public.hcad.org/
18021 Kingsland Blvd,18021 Kingsland Blvd,Houston,Texas,423,sold,,2025-04-17,Alden Ridgmar Creek Enterprise LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2727 Revere St,2727 Revere St,Houston,Texas,423,sold,,2025-08-13,La Maison Armando LLC,,,,,Harris County records (search by address),https://public.hcad.org/
11111 Grant Rd,11111 Grant Rd,Cypress,Texas,422,sold,,2025-03-12,Pecos Housing Finan Ce Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
5959 FM 1960 Rd W,5959 FM 1960 Rd W,Houston,Texas,404,sold,,2025-07-08,Armour 5959 FM LLC,,,,,Harris County records (search by address),https://public.hcad.org/
5500 El Camino Del Rey St,5500 El Camino Del Rey St,Houston,Texas,401,sold,,2025-08-14,Msl Apartments LLC,,,,,Harris County records (search by address),https://public.hcad.org/
14515 Briar Forest Dr,14515 Briar Forest Dr,Houston,Texas,396,sold,,2025-08-19,Bel Briar Limited Partnership,,,,,Harris County records (search by address),https://public.hcad.org/
305 W Baker Rd,305 W Baker Rd,Baytown,Texas,392,sold,,2025-06-05,Lakes At Madera Cityr Fund LLC,,,,,Harris County records (search by address),https://public.hcad.org/
1002 Katy Gap Rd,1002 Katy Gap Rd,Katy,Texas,389,sold,,2025-11-20,1002 Katy Gap Borrower LLC,,(346) 771-5695,,https://www.centuryapartmentskaty.com/contactus (2026-09-26),Harris County records (search by address),https://public.hcad.org/
10010 Kempwood Dr,10010 Kempwood Dr,Houston,Texas,388,sold,,2025-11-19,9999 Kempwood Drive LP,,(346) 637-3549,Greystar,https://www.greystar.com/3-corners-north-houston-tx/p_17902 (2026-09-26),Harris County records (search by address),https://public.hcad.org/
1822 Barker Cypress Rd,1822 Barker Cypress Rd,Houston,Texas,384,sold,,2025-05-12,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
Venterra Spring Cypress Apartments,16614 Spring Cypress Apartments,Cypress,Texas,384,under construction,2027-11-30,,,"Vr Development GP, LLC",(281) 558-8787,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025553
100 Detering St,100 Detering St,Houston,Texas,383,sold,,2024-12-09,Virage Apartments Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8751 Broadway St,8751 Broadway St,Houston,Texas,383,sold,,2024-11-12,Verde Apartment Portfolio One LLC,,,,,Harris County records (search by address),https://public.hcad.org/
23403 Kingsland Dr,23403 Kingsland Dr,Katy,Texas,382,sold,,2025-06-26,Price Reserve On Kingsland LLC,,,,,Harris County records (search by address),https://public.hcad.org/
3003 Memorial Ct,3003 Memorial Ct,Houston,Texas,380,sold,,2025-06-03,Cb Marcella Memorial Heights LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8627 Hufsmith Rd,8627 Hufsmith Rd,Tomball,Texas,380,sold,,2025-11-12,Ar Preserve LLC,,(281) 351-5700,,https://www.apartmentsspringtexas.com/Marketing/Contact (2026-09-26),Harris County records (search by address),https://public.hcad.org/
1617 Enid St,1617 Enid St,Houston,Texas,378,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
