Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
Jefferson Promenade II,515 Promenade Pkwy,Irving,Texas,433,sold,,2024-12-16,Pecos Housing Finance Corp,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
801 Lasco,801 Lake Carolyn Pkwy,Irving,Texas,422,sold,,2024-12-23,Sam 801 Lasco Owner LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Promenade At Las Colinas,555 Promenade Pkwy,Irving,Texas,387,sold,,2025-11-25,Kre Lc Promenade LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Cortland Las Colinas,655 Promenade Pky,Irving,Texas,371,sold,,2026-01-21,Crp/Rpm Las Colinas Owners LP,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
(45% Complete) The Gilman,200 John W Carpenter Fwy,Irving,Texas,370,sold,,2024-12-20,Gilman Owner LLC The,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Peregrine,6001 Love Dr,Irving,Texas,364,sold,,2026-03-16,Kw Peregrine Owner LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Imt Lakeshore Lofts At Las Colinas,800 Lake Carolyn Pkwy,Irving,Texas,341,sold,,2024-12-13,Bcm Atlantic Lakeshore Lofts,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Shoreline On Lake Carolyn (Abatement),1050 Lake Carolyn Pky,Irving,Texas,341,sold,,2024-12-18,Htjd Las Colinas Property,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Amli Escena Apartments,6401 Escena Blvd,Irving,Texas,330,sold,,2026-06-12,Rp 4 Las Colinas Owner LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Hawke Apt Homes,4525 W Pioneer Dr,Irving,Texas,320,sold,,2026-06-04,Stonelex I 3 LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
The Carolyn,900 Lake Carolyn Pkwy,Irving,Texas,319,sold,,2025-12-29,Crp Wop Tblc Owner LP,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Rancho Mirage,1200 Hidden Ridge Dr,Irving,Texas,310,sold,,2025-05-08,Pecos Housing Finance,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Cortland La Villita,6411 Tranquilo,Irving,Texas,306,sold,,2025-09-16,Key La Villita LLC,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Allura (Abatement),6445 Love Dr,Irving,Texas,288,sold,,2026-05-28,Allura Legacy I TIC &,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
Camden Cimarron,101 Cimarron Trail,Irving,Texas,286,sold,,2025-07-10,Cimarron Apartment Owner,,,Website,https://www.dallascad.org/ViewPDFs.aspx?type=3&id=\\DCAD.ORG\WEB\WEBDATA\WEBFORMS\DATA PRODUCTS\DCAD2026_CURRENT.ZIP
