Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
Grand At Legacy West Apartments,6080 Water St,Plano,Texas,621,sold,,2025-04-28,Lw Owner 1 LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
23Hundred @ Ridgeview,2300 Kathryn Ln,Plano,Texas,480,sold,,2025-06-26,Ch Realty X Mf Plano 23 Hundred LP,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Riachi At One 21 Apartments,9600 Coit Rd,Plano,Texas,402,sold,,,Mfrevf V - Plano LP,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
The Dayton,6000 Ohio Dr,Plano,Texas,389,sold,,2025-04-01,Pecos Housing Finance Corporation,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Creekside At Legacy Apartments,6300 Windcrest Dr,Plano,Texas,380,sold,,2024-09-26,Key Creekside LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
360-unit project in downtown Plano,,Plano,Texas,360,planned,,,,,,,,News,https://communityimpact.com/plano/government/plano-commission-approves-new-site-plan-for-360-apartment-project-in-downtown-plano/
351-unit project at 4701 W Park Blvd,"4701 W Park Blvd, Plano, TX",Plano,Texas,351,planned,,,,,,,,City filing,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
Legends At Chase Oaks Apartments,701 Legacy Dr,Plano,Texas,346,sold,,2025-09-29,701 Legacy Drive Spe LLC,,(972) 527-6510,Willow Bridge Property Co,https://www.willowbridgepc.com/properties/legends-at-chase-oaks-plano-tx (2026-09-26),Texas county property records,https://data.texas.gov/d/5tkr-3759
The Buckley,"600 Kissimmee Drive, Plano, TX",Plano,Texas,338,leasing,,,,,,,,News,https://candysdirt.com/2026/08/07/the-buckley-adds-338-apartments-to-planos-reworked-heritage-creekside/
The Ludlow,601 Belpree Dr,Plano,Texas,326,sold,,,Heritage Creekside Block B Owner LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Mcdermott Place Apartments,8900 Independence Pkwy,Plano,Texas,324,sold,,,Heitman Credit Acquisition Xl LP,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
