Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
Quantum Drive,Quantum Drive and SW Loop 410,San Antonio,Texas,404,planned,,,,,(214) 960-1309,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-4pct/2026260803-4HTC-StatusLog.xlsx
Sageland Flats fka Brooks Family Apartments,Northwest Corner of Research Plaza and Challenger Drive,San Antonio,Texas,338,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
301 Lofts,13388 W Hwy 90,San Antonio,Texas,336,planned,,,,,(216) 584-0613,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-4pct/2026260803-4HTC-StatusLog.xlsx
Lakeside Lofts,5726 US Highway 87 E.,San Antonio,Texas,336,under construction,2027-12-15,,,Lakeside Lofts Ltd.,(512) 202-9011,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006319
Oso Apartments,2075 Shuwirth Road,Converse,Texas,336,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Stones Crossing Apartment Homes,23219 U.S. Hwy 281 N,San Antonio,Texas,336,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
The Orion Apartment Homes,13039 SW Loop 410,San Antonio,Texas,336,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Palladium Old FM 471 W,Old FM 471 W and Talley Rd,San Antonio,Texas,321,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Creek Bend Apartment Homes,2335 E Borgfeld Dr,San Antonio,Texas,312,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Lofts at Creekview,3623 and 3841 East Commerce,San Antonio,Texas,301,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
West Dell Apartment Homes,11437 Alamo Ranch Parkway,San Antonio,Texas,300,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
West Dell Apartments,Approx. 11400 Alamo Ranch Parkway,San Antonio,Texas,300,planned,,,,,(317) 208-3767,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-4pct/2026260803-4HTC-StatusLog.xlsx
Brickstone Flats,9003 Somerset Road,San Antonio,Texas,290,under construction,2028-06-30,,,Brickstone Flats LP,(317) 846-3111,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012493
Palladium San Antonio,4770 Military Drive W,San Antonio,Texas,288,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Central at Commerce,1231 East Commerce Street,San Antonio,Texas,279,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Riverbreeze Apartments,SWQ 410 SW Loop & Palo Alto Road,San Antonio,Texas,264,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Hill View Heights,Approx 15024 Culebra Road,San Antonio,Texas,260,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Timber Trails Apartments,SEQ Hwy 46 and Jefferson Avenue,Seguin,Texas,255,planned,,,,,(641) 832-9088,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-4pct/2026260803-4HTC-StatusLog.xlsx
Cactus Trails Apartments,10585 Shaenfield Road,San Antonio,Texas,248,planned,,,,,(641) 830-9088,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Emberstone Apartments,Watson Road,San Antonio,Texas,247,under construction,2028-02-01,,,Emberstone Apartments LP,(317) 907-3870,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022601
Cedar Ridge Terrace fka Brooks Senior Apartments,Northeast Corner of Research Plaza and Challenger Drive,San Antonio,Texas,239,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Residences at Pearsall Park,Corner of Ray Ellison Blvd and Old Pearsall Road,San Antonio,Texas,238,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Cedar Bluff Apartments,920 San Antonio Avenue,Seguin,Texas,203,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
The Commons at Acequia Trails,NE Corner of South Presa Street and Old Corpus Christi Road,San Antonio,Texas,201,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
6219 S New Braunfels B#3 - Maint.,"6219 S NEW BRAUNFELS AVE, City of San Antonio, TX 78223",San Antonio,Texas,180,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
Walnut Springs,2551 N. Guadalupe St.,Seguin,Texas,177,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Heritage Estates at Medina,SWC I-410 and Medina Base Rd,San Antonio,Texas,86,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Park at Dogwood,NEC McQueeny Road at County Line Memorial Trail,New Braunfels,Texas,85,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
6802 Marbach Lofts,1611 Pinn Road,San Antonio,Texas,78,under construction,2027-08-01,,,6802 Marbach Lofts Ltd.,(512) 202-9011,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006304
Tezel Road Apartments,5590 Tezel Road,San Antonio,Texas,78,under construction,2028-06-30,,,Tezel Road Apartments Ltd.,(512) 202-9011,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015360
Pleasanton Multifamily,1100 Pleasanton Rd,San Antonio,Texas,72,under construction,2028-01-01,,,"Fierro Enterprises, LLC",(210) 534-4315,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026577
The Judy at VIDA,10345 S Zarzamora Street,San Antonio,Texas,68,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Nuestra Tierra,9000 block of Guilbeau Road,San Antonio,Texas,65,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Vista at Culebra,East of Culebra Road and Arcadia Creek,San Antonio,Texas,64,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Abbington Station,SEC of 7th Street and Austin Street,Pleasanton,Texas,48,planned,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
1231 E COMMERCE ST - Central at Commerce,"1231 E COMMERCE ST, City of San Antonio, TX 78205",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
12411 SW 410 B1,"12411 SW 410, City of San Antonio, TX 78224",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
13039 SW 410 Building 5 - The Orion Apartments,"13039 SW 410, City of San Antonio, TX 78224",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
15407 Lookout Rd B-1A,"15407 LOOKOUT RD, City of San Antonio, TX 78154",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
19302 BABCOCK RD Building No: 1; Unit No: 80,"19302 BABCOCK RD, City of San Antonio, TX 78256",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
2315 Mission Rd,"2315 MISSION RD, City of San Antonio, TX 78214",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
23219 N US Hwy 281 B1 - Stones Crossing,"23219 N US HWY 281, City of San Antonio, TX 78258",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
425 San Pedro,"425 SAN PEDRO AVE, City of San Antonio, TX 78212",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
4253 Jaguar Pkwy - C1,"4253 JAGUAR PKWY, City of San Antonio, TX 78224",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
4802 Ray Bon Bldg. 15,"4802 RAY BON DR, City of San Antonio, TX 78218",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
5355 Crestway B8 - Guard Shack,"5355 CRESTWAY RD, City of San Antonio, TX 78239",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
5578 Tezel - Pre-K,"5578 TEZEL RD, City of San Antonio, TX 78250",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
6210 SUN VALLEY DR - Heritage Estates at Medina,"6210 SUN VALLEY DR, City of San Antonio, TX 78227",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
6415 SW 410 - Heritage Estates at Medina,"6415 SW 410, City of San Antonio, TX 78227",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
7222 Old Corpus Christi Rd Bldg. 1A,"7222 OLD CORPUS CHRISTI RD, City of San Antonio, TX 78223",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
811 Park Lofts,811 Park Ave,San Antonio,Texas,,under construction,2027-03-01,,,811 And 815 E Park Ave LLC,(210) 540-6000,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005754
9035 SOMERSET RD - B1- Brickstone Flats,"9035 SOMERSET RD, City of San Antonio, TX 78211",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#1 - 7223 Snowden TO INCLUDE CLUBHOUSE,"7223 SNOWDEN RD, City of San Antonio, TX 78240",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#1 210 W Josephine,"210 W JOSEPHINE, City of San Antonio, TX 78212",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#16 - 3500 Magic Dr,"3500 MAGIC DR, City of San Antonio, TX 78229",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#2 - 10210 Zarzamora,"10210 S Zarzamora, San Antonio, TX 78224",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#2 - 11333 Brazil,"11333 BRAZIL, City of San Antonio, TX 78213",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#2 - 1510 E Sonterra,"1510 E SONTERRA BLVD, City of San Antonio, TX 78258",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#2 Maint - 4511 Thousand Oaks,,San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#5 Mail - 4750 W Military,"4750 W MILITARY DR, City of San Antonio, TX 78242",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#6 - 2318 Castroville Rd,"2318 CASTROVILLE RD, City of San Antonio, TX 78237",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
B#7 - 11334 Brazil,"11334 BRAZIL, City of San Antonio, TX 78213",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
Bulverde Multifamily Apartments,17626 Bulverde Avenue,San Antonio,Texas,,under construction,2026-02-28,,,"Bulverde Apartments 2022, LLC",(205) 443-4550,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013108
Durango Apartments,427 S Presa St,San Antonio,Texas,,permitted,2028-12-31,,,"Durango Owner, LLC",(609) 634-3332,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024986
Haynes Lofts,9427 SE 410,San Antonio,Texas,,under construction,2027-09-15,,,Sabot Development LTD,(512) 565-7509,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013167
NRP 301 Lofts,13388 W. US Highway 90,San Antonio,Texas,,permitted,2028-07-01,,,301 Lofts Ltd.,(844) 677-0002,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019962
Nacogdoches Apartments - Bld# 2-Apt. Bldg. & Clubhouse,"7010 Comanche Land, City Of San Antonio, TX 78233",San Antonio,Texas,,permitted,,,,,,Public record,https://data.sanantonio.gov/api/3/action/datastore_search_sql
The Klein Residences,Sophie Lane,New Braunfels,Texas,,permitted,2029-06-01,,,Solms Residences LLC,(773) 682-4343,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024527
